partner,reporter,date,total_exports,gdp,partner_exports,beta
Russia,Austria,2021-01-26,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-06,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-05-31,537160529.451613,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-10,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-07,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-06,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-09,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-05,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-12-12,522136622.7419355,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-08,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-05,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-15,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-16,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-04-30,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-01-14,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-11,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-12,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-13,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-04-29,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-01-04,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-12-11,522136622.7419355,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-25,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-25,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-26,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-27,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-28,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-04-26,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-27,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-03-01,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-02,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-03,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-04,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-12-10,522136622.7419355,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-04-19,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-20,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-21,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-22,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-23,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-24,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-25,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-12-04,522136622.7419355,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-04-28,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-12-07,522136622.7419355,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-12-08,522136622.7419355,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-12-09,522136622.7419355,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-03,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-02-14,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-15,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-16,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-17,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-18,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-19,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-20,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-01-17,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-12-05,522136622.7419355,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-12-06,522136622.7419355,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-02-11,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-12,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-13,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-01-23,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-24,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-04-01,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-02,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-03,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-04,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-05,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-08-29,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-18,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-19,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-20,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-21,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-22,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-04-18,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-14,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-15,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-16,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-17,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-12-01,522136622.7419355,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-12-02,522136622.7419355,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-12-03,522136622.7419355,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-02-08,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-09,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-10,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-09-10,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-11,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-12,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-13,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-14,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-15,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-16,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-17,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-18,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-19,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-20,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-21,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-22,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-23,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-24,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-25,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-26,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-27,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-28,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-29,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-30,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-01-27,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-28,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-04-06,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-07,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-08,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-09,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-10,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-01-02,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-01-01,460554261.38709676,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-02-01,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-02,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-03,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-04,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-05,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-06,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-07,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-09-07,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-08,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-09,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-08-05,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-06,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-07,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-08,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-09,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-10,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-11,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-12,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-13,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-14,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-15,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-16,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-17,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-18,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-19,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-20,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-21,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-22,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-23,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-24,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-01,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-02,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-03,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-04,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-05,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-06,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-07,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-08,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-04-11,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-12,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-04-13,571548976.5666667,1331376007.6306863,6558941.554083332,0.004926438148570522
Russia,Austria,2021-09-01,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-02,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-03,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-04,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-05,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-09-06,601236850,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-07-18,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-19,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-20,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-21,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-22,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-23,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-24,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-25,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-26,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-27,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-28,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-29,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-30,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-31,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-02-21,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-22,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-23,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-24,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-25,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-26,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-27,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-02-28,568146121.6785715,1426474293.8900208,7027437.379374999,0.004926438148570523
Russia,Austria,2021-05-29,537160529.451613,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-05-30,537160529.451613,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-06-01,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-02,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-03,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-04,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-05,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-06,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-07,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-08,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-09,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-10,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-07-12,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-13,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-14,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-15,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-16,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-07-17,555817617.1935484,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-06-17,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-18,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-19,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-20,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-21,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-22,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-23,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-24,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-25,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-26,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-27,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-28,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-29,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-30,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-03-07,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-08,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-09,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-10,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-11,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-12,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-13,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-14,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-15,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-16,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-17,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-18,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-19,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-20,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-21,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-22,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-23,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-24,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-25,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-03-26,608811144.9354838,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-06-11,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-12,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-13,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-14,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-15,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-06-16,584441554.2,1331376007.6306863,6558941.554083332,0.004926438148570523
Russia,Austria,2021-08-01,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-02,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-03,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-04,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-06,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-07,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-08,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-09,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-10,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-11,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-12,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-13,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-14,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-15,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-16,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-17,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-18,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-19,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-20,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-21,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-22,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-23,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-24,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-25,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-26,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-27,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-28,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-29,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-30,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-10-31,551962453.032258,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-30,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
Russia,Austria,2021-08-31,487755584.0322581,1288428394.4813092,6347362.794274192,0.004926438148570523
