"Date","Price","Change","Ratio"
2010-01-04,1002.42,0,0
2010-01-05,1011.01,8.59,0.86
2010-01-07,1015.9,4.89,0.48
2010-01-11,1026.21,10.31,1.01
2010-01-12,1029.41,3.2,0.31
2010-01-14,1034.31,4.9,0.48
2010-01-18,1039.61,4.64,0.45
2010-01-19,1047.82,7.69,0.74
2010-01-21,1053.41,4.91,0.47
2010-01-25,1061.45,9.9,0.94
2010-01-26,1073.61,12.16,1.15
2010-01-28,1083.95,10.34,0.96
2010-02-01,1091.31,7.36,0.68
2010-02-02,1098.71,7.39,0.68
2010-02-04,1110.3,11.59,1.05
2010-02-08,1123.82,13.52,1.22
2010-02-09,1123.31,-0.51,-0.05
2010-02-11,1118.22,-5.08,-0.45
2010-02-15,1118.88,0.66,0.06
2010-02-16,1118.72,-0.16,-0.01
2010-02-18,1125.31,6.59,0.59
2010-02-22,1129.07,3.76,0.33
2010-02-23,1126.84,-2.23,-0.2
2010-03-01,1122.38,-4.46,-0.4
2010-03-02,1115.07,-7.31,-0.65
2010-03-04,1108.19,-6.88,-0.62
2010-03-09,1105.24,-2.95,-0.27
2010-03-11,1109.74,4.5,0.41
2010-03-15,1123.64,13.9,1.25
2010-03-16,1132.86,9.22,0.82
2010-03-18,1131.51,-1.35,-0.12
2010-03-22,1132.7,1.19,0.11
2010-03-23,1130.67,-2.03,-0.18
2010-03-25,1139.92,9.25,0.82
2010-03-29,1141.18,1.26,0.11
2010-03-30,1145.05,3.87,0.34
2010-04-01,1149.29,4.24,0.37
2010-04-05,1146.94,-0.96,-0.08
2010-04-06,1148.8,1.86,0.16
2010-04-08,1146.93,-1.87,-0.16
2010-04-12,1160.42,13.45,1.17
2010-04-13,1177.4,16.98,1.46
2010-04-15,1186.86,9.45,0.8
2010-04-19,1197.91,11.06,0.93
2010-04-20,1212.97,13.71,1.14
2010-04-22,1221.94,8.97,0.74
2010-04-26,1236.43,14.31,1.17
2010-04-27,1246.95,10.7,0.87
2010-04-29,1255.58,8.63,0.69
2010-05-03,1252.5,-3.08,-0.25
2010-05-04,1258.29,5.79,0.46
2010-05-10,1262.09,3.8,0.3
2010-05-11,1270.51,8.42,0.67
2010-05-13,1285.83,15.32,1.21
2010-05-17,1301.38,15.55,1.21
2010-05-18,1310.07,8.69,0.67
2010-05-20,1317.22,7.15,0.55
2010-05-24,1329.62,12.4,0.94
2010-05-25,1335.58,5.96,0.45
2010-05-27,1341.8,6.22,0.47
2010-05-31,1357.21,15.41,1.15
2010-06-01,1373.84,16.63,1.23
2010-06-03,1385.24,11.4,0.83
2010-06-07,1399.94,14.7,1.06
2010-06-08,1412.6,12.66,0.9
2010-06-10,1416.62,4.02,0.28
2010-06-14,1418.53,1.91,0.13
2010-06-15,1424.45,20.45,1.44
2010-06-17,1429.54,5.1,0.35
2010-06-21,1432.9,-11.18,-0.77
2010-06-22,1427.98,-4.92,-0.34
2010-06-24,1421.78,-6.2,-0.43
2010-06-28,1417.21,-4.57,-0.32
2010-06-29,1415.93,-1.28,-0.09
2010-07-01,1424.64,8.71,0.62
2010-07-04,1427.62,2.98,0.21
2010-07-05,1426.22,-1.4,-0.1
2010-07-07,1427.71,1.49,0.1
2010-07-08,1424.82,-2.89,-0.2
2010-07-11,1417.29,-7.53,-0.53
2010-07-12,1417.31,0.02,0
2010-07-14,1417.11,-0.2,-0.01
2010-07-15,1415.05,-2.06,-0.15
2010-07-18,1416.72,1.67,0.12
2010-07-19,1414.3,-2.42,-0.17
2010-07-21,1419.48,5.18,0.37
2010-07-22,1428.81,9.33,0.66
2010-07-25,1440.08,11.27,0.79
2010-07-26,1448.39,8.31,0.58
2010-07-28,1455.35,6.96,0.48
2010-07-29,1469.27,13.92,0.96
2010-08-01,1488.92,19.65,1.34
2010-08-02,1511.79,22.87,1.54
2010-08-04,1522.12,10.33,0.68
2010-08-05,1514.55,-7.57,-0.5
2010-08-08,1507.31,-7.24,-0.48
2010-08-09,1500.1,-7.21,-0.48
2010-08-11,1504.88,4.78,0.32
2010-08-12,1501.68,-3.2,-0.21
2010-08-15,1512.04,10.36,0.69
2010-08-16,1516.83,4.79,0.32
2010-08-18,1524.67,7.84,0.52
2010-08-19,1532.12,7.45,0.49
2010-08-22,1538.85,6.73,0.44
2010-08-23,1537.65,-1.2,-0.08
2010-08-25,1539.43,1.78,0.12
2010-08-26,1549.6,10.17,0.66
2010-08-29,1553.28,3.68,0.24
2010-08-30,1561.91,8.63,0.56
2010-09-01,1579.13,17.22,1.1
2010-09-02,1595.56,16.43,1.04
2010-09-05,1603.38,7.82,0.49
2010-09-06,1602.64,-0.74,-0.05
2010-09-08,1607.81,5.17,0.32
2010-09-13,1625.75,17.94,1.12
2010-09-15,1639.15,13.4,0.82
2010-09-16,1647.86,8.71,0.53
2010-09-19,1645.48,-2.38,-0.14
2010-09-20,1645.97,0.49,0.03
2010-09-22,1653.06,7.09,0.43
2010-09-23,1651.96,-1.1,-0.07
2010-09-26,1655.51,3.55,0.21
2010-09-27,1662.73,7.22,0.44
2010-09-29,1664.18,1.45,0.09
2010-09-30,1661.77,-2.41,-0.14
2010-10-03,1663.59,1.82,0.11
2010-10-04,1661.81,-1.78,-0.11
2010-10-07,1665.3,3.49,0.21
2010-10-10,1669,3.7,0.22
2010-10-11,1674.79,5.79,0.35
2010-10-13,1683.87,9.08,0.54
2010-10-14,1693.36,9.49,0.56
2010-10-17,1698.7,5.34,0.32
2010-10-18,1706.92,8.22,0.48
2010-10-20,1713.75,6.83,0.4
2010-10-21,1719.49,5.74,0.33
2010-10-24,1728.71,9.22,0.54
2010-10-25,1731.78,3.07,0.18
2010-10-27,1730.62,-1.16,-0.07
2010-10-28,1727.16,-3.46,-0.2
2010-10-31,1722.64,-4.52,-0.26
2010-11-01,1717.39,-5.25,-0.3
2010-11-03,1709.48,-7.91,-0.46
2010-11-04,1713.04,3.56,0.21
2010-11-07,1707.25,-5.79,-0.34
2010-11-08,1692.72,-14.53,-0.85
2010-11-10,1695.16,2.44,0.14
2010-11-11,1692.13,-3.03,-0.18
2010-11-14,1687.53,-4.6,-0.27
2010-11-21,1676.23,-11.3,-0.67
2010-11-22,1661.36,-14.87,-0.89
2010-11-24,1648.65,-12.71,-0.77
