partner,reporter,date,total_exports,gdp,partner_exports,beta
Russia,United States,2021-06-03,4935581977.1,64764112666.666664,17928331.066666666,2.768250861235712e-4
Russia,United States,2021-06-01,4935581977.1,64764112666.666664,17928331.066666666,2.768250861235712e-4
Russia,United States,2021-06-02,4935581977.1,64764112666.666664,17928331.066666666,2.768250861235712e-4
Russia,United States,2021-10-22,5294760906.451612,62674947741.935486,16844991.870967742,2.6876754553234103e-4
Russia,United States,2021-03-25,4924859067.258064,62674947741.935486,15362929.193548387,2.4512073399415266e-4
Russia,United States,2021-10-21,5294760906.451612,62674947741.935486,16844991.870967742,2.6876754553234103e-4
Russia,United States,2021-01-01,4134258953.387097,62674947741.935486,12590981.451612903,2.0089336976324818e-4
Russia,United States,2021-10-23,5294760906.451612,62674947741.935486,16844991.870967742,2.6876754553234103e-4
Russia,United States,2021-06-04,4935581977.1,64764112666.666664,17928331.066666666,2.768250861235712e-4
Russia,United States,2021-06-05,4935581977.1,64764112666.666664,17928331.066666666,2.768250861235712e-4
Russia,United States,2021-10-25,5294760906.451612,62674947741.935486,16844991.870967742,2.6876754553234103e-4
Russia,United States,2021-03-26,4924859067.258064,62674947741.935486,15362929.193548387,2.4512073399415266e-4
Russia,United States,2021-03-27,4924859067.258064,62674947741.935486,15362929.193548387,2.4512073399415266e-4
Russia,United States,2021-07-02,4653862945.580646,62674947741.935486,16070108.451612903,2.564040183612387e-4
Russia,United States,2021-07-14,4653862945.580646,62674947741.935486,16070108.451612903,2.564040183612387e-4
Russia,United States,2021-10-26,5294760906.451612,62674947741.935486,16844991.870967742,2.6876754553234103e-4
Russia,United States,2021-06-06,4935581977.1,64764112666.666664,17928331.066666666,2.768250861235712e-4
Russia,United States,2021-10-24,5294760906.451612,62674947741.935486,16844991.870967742,2.6876754553234103e-4
Russia,United States,2021-01-17,4134258953.387097,62674947741.935486,12590981.451612903,2.0089336976324818e-4
Russia,United States,2021-10-20,5294760906.451612,62674947741.935486,16844991.870967742,2.6876754553234103e-4
Russia,United States,2021-01-15,4134258953.387097,62674947741.935486,12590981.451612903,2.0089336976324818e-4
Russia,United States,2021-01-16,4134258953.387097,62674947741.935486,12590981.451612903,2.0089336976324818e-4
Russia,United States,2021-06-07,4935581977.1,64764112666.666664,17928331.066666666,2.768250861235712e-4
Russia,United States,2021-01-18,4134258953.387097,62674947741.935486,12590981.451612903,2.0089336976324818e-4
Russia,United States,2021-01-19,4134258953.387097,62674947741.935486,12590981.451612903,2.0089336976324818e-4
Russia,United States,2021-01-20,4134258953.387097,62674947741.935486,12590981.451612903,2.0089336976324818e-4
Russia,United States,2021-03-23,4924859067.258064,62674947741.935486,15362929.193548387,2.4512073399415266e-4
Russia,United States,2021-10-19,5294760906.451612,62674947741.935486,16844991.870967742,2.6876754553234103e-4
Russia,United States,2021-06-10,4935581977.1,64764112666.666664,17928331.066666666,2.768250861235712e-4
Russia,United States,2021-03-24,4924859067.258064,62674947741.935486,15362929.193548387,2.4512073399415266e-4
Russia,United States,2021-07-04,4653862945.580646,62674947741.935486,16070108.451612903,2.564040183612387e-4
Russia,United States,2021-07-05,4653862945.580646,62674947741.935486,16070108.451612903,2.564040183612387e-4
Russia,United States,2021-07-06,4653862945.580646,62674947741.935486,16070108.451612903,2.564040183612387e-4
Russia,United States,2021-07-03,4653862945.580646,62674947741.935486,16070108.451612903,2.564040183612387e-4
Russia,United States,2021-07-08,4653862945.580646,62674947741.935486,16070108.451612903,2.564040183612387e-4
Russia,United States,2021-10-27,5294760906.451612,62674947741.935486,16844991.870967742,2.6876754553234103e-4
Russia,United States,2021-10-28,5294760906.451612,62674947741.935486,16844991.870967742,2.6876754553234103e-4
Russia,United States,2021-07-07,4653862945.580646,62674947741.935486,16070108.451612903,2.564040183612387e-4
Russia,United States,2021-10-17,5294760906.451612,62674947741.935486,16844991.870967742,2.6876754553234103e-4
Russia,United States,2021-03-22,4924859067.258064,62674947741.935486,15362929.193548387,2.4512073399415266e-4
Russia,United States,2021-07-01,4653862945.580646,62674947741.935486,16070108.451612903,2.564040183612387e-4
Russia,United States,2021-03-21,4924859067.258064,62674947741.935486,15362929.193548387,2.4512073399415266e-4
Russia,United States,2021-09-01,4744631416.133333,64764112666.666664,19024758,2.9375463071528845e-4
Russia,United States,2021-01-02,4134258953.387097,62674947741.935486,12590981.451612903,2.0089336976324818e-4
Russia,United States,2021-01-03,4134258953.387097,62674947741.935486,12590981.451612903,2.0089336976324818e-4
Russia,United States,2021-03-28,4924859067.258064,62674947741.935486,15362929.193548387,2.4512073399415266e-4
Russia,United States,2021-03-29,4924859067.258064,62674947741.935486,15362929.193548387,2.4512073399415266e-4
Russia,United States,2021-03-30,4924859067.258064,62674947741.935486,15362929.193548387,2.4512073399415266e-4
Russia,United States,2021-03-31,4924859067.258064,62674947741.935486,15362929.193548387,2.4512073399415266e-4
Russia,United States,2021-10-14,5294760906.451612,62674947741.935486,16844991.870967742,2.6876754553234103e-4
Russia,United States,2021-06-08,4935581977.1,64764112666.666664,17928331.066666666,2.768250861235712e-4
Russia,United States,2021-06-09,4935581977.1,64764112666.666664,17928331.066666666,2.768250861235712e-4
Russia,United States,2021-10-31,5294760906.451612,62674947741.935486,16844991.870967742,2.6876754553234103e-4
Russia,United States,2021-07-13,4653862945.580646,62674947741.935486,16070108.451612903,2.564040183612387e-4
Russia,United States,2021-01-13,4134258953.387097,62674947741.935486,12590981.451612903,2.0089336976324818e-4
Russia,United States,2021-01-14,4134258953.387097,62674947741.935486,12590981.451612903,2.0089336976324818e-4
Russia,United States,2021-09-15,4744631416.133333,64764112666.666664,19024758,2.9375463071528845e-4
Russia,United States,2021-09-16,4744631416.133333,64764112666.666664,19024758,2.9375463071528845e-4
Russia,United States,2021-09-17,4744631416.133333,64764112666.666664,19024758,2.9375463071528845e-4
Russia,United States,2021-09-18,4744631416.133333,64764112666.666664,19024758,2.9375463071528845e-4
Russia,United States,2021-09-19,4744631416.133333,64764112666.666664,19024758,2.9375463071528845e-4
Russia,United States,2021-09-20,4744631416.133333,64764112666.666664,19024758,2.9375463071528845e-4
Russia,United States,2021-01-21,4134258953.387097,62674947741.935486,12590981.451612903,2.0089336976324818e-4
Russia,United States,2021-10-15,5294760906.451612,62674947741.935486,16844991.870967742,2.6876754553234103e-4
Russia,United States,2021-10-16,5294760906.451612,62674947741.935486,16844991.870967742,2.6876754553234103e-4
