"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2024","53,589.25","53,489.02","54,125.09","53,488.57","","0.19%"
"03/13/2024","53,488.57","52,193.78","53,488.57","52,193.78","","2.48%"
"03/12/2024","52,193.78","51,503.70","52,333.13","51,329.39","","1.34%"
"03/11/2024","51,503.70","50,438.99","51,726.58","50,438.99","","2.11%"
"03/08/2024","50,438.99","50,100.00","50,784.30","50,039.10","","0.68%"
"03/07/2024","50,100.00","50,069.26","50,440.16","49,289.79","","0.01%"
"03/06/2024","50,095.08","47,998.11","50,095.08","47,998.11","","4.37%"
"03/05/2024","47,998.11","48,873.58","50,058.23","47,210.16","","-1.79%"
"03/04/2024","48,873.58","49,196.70","49,832.29","48,756.62","","-0.66%"
"03/01/2024","49,196.70","49,444.03","49,444.03","49,039.94","","-0.50%"
"02/29/2024","49,444.03","49,247.90","50,085.05","49,247.90","","0.40%"
"02/28/2024","49,247.90","49,769.94","50,839.62","49,247.90","","-1.05%"
"02/27/2024","49,769.94","49,461.59","49,778.71","48,887.99","","0.62%"
"02/26/2024","49,461.59","50,807.87","51,289.38","49,461.59","","-2.65%"
"02/23/2024","50,807.87","50,620.56","51,108.12","50,278.13","","0.37%"
"02/22/2024","50,620.56","49,772.51","51,560.69","49,772.51","","1.70%"
"02/21/2024","49,772.51","51,268.63","51,268.63","49,262.61","","-2.92%"
"02/20/2024","51,268.63","51,535.57","52,435.58","51,257.00","","-0.52%"
"02/19/2024","51,535.57","51,607.08","52,891.29","51,269.59","","-0.14%"
"02/16/2024","51,607.08","53,114.01","53,467.27","51,607.08","","-2.84%"
"02/15/2024","53,114.01","53,005.23","53,614.54","53,005.23","","0.21%"
"02/14/2024","53,005.23","53,320.11","54,778.59","53,005.23","","-0.59%"
"02/09/2024","53,320.11","52,839.06","53,320.11","52,313.09","","0.91%"
"02/08/2024","52,839.06","52,077.81","53,427.48","51,853.74","","1.46%"
"02/07/2024","52,077.81","53,543.86","53,543.86","52,045.91","","-2.74%"
"02/06/2024","53,543.86","53,702.64","53,760.65","53,381.44","","-0.30%"
"02/05/2024","53,702.64","54,103.19","54,251.93","53,702.64","","-0.74%"
"02/02/2024","54,103.19","53,253.29","54,103.19","53,193.23","","1.60%"
"02/01/2024","53,253.29","53,529.95","53,836.03","52,796.83","","-0.52%"
"01/31/2024","53,529.95","54,237.16","54,249.86","53,121.60","","-1.30%"
"01/30/2024","54,237.16","54,140.02","54,388.29","53,977.30","","0.18%"
"01/29/2024","54,140.02","55,030.26","55,466.30","54,140.02","","-1.62%"
"01/26/2024","55,030.26","56,841.48","56,909.41","55,004.78","","-3.19%"
"01/25/2024","56,841.48","57,539.41","57,539.41","56,841.48","","-1.21%"
"01/24/2024","57,539.41","57,979.93","58,021.44","57,335.69","","-0.76%"
"01/23/2024","57,979.93","57,953.20","59,001.19","57,916.51","","0.05%"
"01/22/2024","57,953.20","57,584.23","57,986.00","57,264.21","","0.64%"
"01/19/2024","57,584.23","56,618.17","57,699.79","56,322.29","","1.71%"
"01/18/2024","56,618.17","56,790.57","57,391.80","56,241.62","","-0.30%"
"01/17/2024","56,790.57","56,758.28","56,858.79","56,353.76","","0.06%"
"01/16/2024","56,758.28","56,602.80","57,076.15","56,325.39","","0.27%"
"01/15/2024","56,602.80","55,899.57","57,441.21","55,899.57","","1.26%"
"01/12/2024","55,899.57","55,762.90","55,948.36","55,668.07","","0.25%"
"01/11/2024","55,762.90","56,142.25","56,380.02","55,681.78","","-0.68%"
"01/10/2024","56,142.25","56,041.38","56,267.94","55,541.58","","0.18%"
"01/09/2024","56,041.38","56,755.28","56,786.50","55,849.58","","-1.26%"
"01/08/2024","56,755.28","57,164.41","57,189.58","56,755.28","","-0.72%"
"01/05/2024","57,164.41","57,525.80","57,632.26","56,988.57","","-0.63%"
"01/04/2024","57,525.80","58,059.49","58,430.47","56,577.90","","-0.92%"
"01/03/2024","58,059.49","58,288.82","58,365.01","57,134.89","","-0.39%"
"01/02/2024","58,288.82","57,832.46","58,305.74","57,573.94","","0.79%"
"01/01/2024","57,832.46","56,366.66","58,086.89","56,366.66","","0.00%"
"12/29/2023","57,832.46","56,366.66","58,086.89","56,366.66","","2.60%"
"12/28/2023","56,366.66","56,305.16","56,366.66","56,194.13","","0.11%"
"12/27/2023","56,305.16","56,522.71","56,742.41","56,284.02","","-0.38%"
"12/26/2023","56,522.71","55,910.68","56,750.48","55,910.68","","1.09%"
"12/22/2023","55,910.68","55,390.33","56,765.83","55,390.33","","0.94%"
"12/21/2023","55,390.33","55,422.46","55,836.36","55,131.50","","-0.06%"
"12/20/2023","55,422.46","53,371.56","56,037.05","53,371.56","","3.84%"
"12/19/2023","53,371.56","54,493.93","55,198.99","53,247.72","","-2.06%"
"12/18/2023","54,493.93","54,642.53","54,816.92","54,185.91","","-0.27%"
"12/15/2023","54,642.53","54,996.30","55,660.70","54,642.53","","-0.64%"
"12/14/2023","54,996.30","55,993.44","56,253.27","54,996.30","","-1.78%"
"12/13/2023","55,993.44","56,971.21","56,971.21","55,993.44","","-1.72%"
"12/12/2023","56,971.21","57,096.93","57,839.95","56,971.21","","-0.22%"
"12/08/2023","57,096.93","58,009.49","58,134.80","56,942.83","","-1.57%"
"12/07/2023","58,009.49","58,331.32","58,418.52","58,009.49","","-0.55%"
"12/06/2023","58,331.32","58,341.02","58,400.57","58,175.14","","-0.02%"
"12/05/2023","58,341.02","58,424.36","58,887.05","58,314.66","","-0.14%"
"12/04/2023","58,424.36","57,522.83","59,266.14","57,522.83","","1.57%"
"12/01/2023","57,522.83","57,827.33","58,312.16","57,522.83","","-0.53%"
"11/30/2023","57,827.33","57,557.13","58,236.52","57,241.22","","0.47%"
"11/29/2023","57,557.13","57,618.21","57,841.53","56,456.49","","-0.11%"
"11/28/2023","57,618.21","58,690.18","58,784.67","57,615.38","","-1.83%"
"11/27/2023","58,690.18","58,652.32","59,035.44","58,103.19","","0.06%"
"11/24/2023","58,652.32","59,280.34","59,280.34","58,195.48","","-0.90%"
"11/23/2023","59,185.72","59,106.75","60,987.32","59,106.75","","-0.03%"
"11/22/2023","59,200.71","57,744.57","59,200.71","57,744.57","","2.52%"
"11/21/2023","57,744.57","56,688.73","58,428.16","56,688.73","","1.86%"
"11/20/2023","56,688.73","56,451.43","56,851.03","55,488.14","","0.42%"
"11/17/2023","56,451.43","57,174.88","57,174.88","55,645.62","","-1.27%"
"11/16/2023","57,174.88","56,897.89","57,174.88","56,842.92","","0.41%"
"11/15/2023","56,942.97","58,657.27","58,664.21","55,751.96","","-2.92%"
"11/14/2023","58,657.27","57,065.98","58,754.88","57,065.98","","2.79%"
"11/13/2023","57,065.98","56,332.52","58,994.69","55,952.35","","1.30%"
"11/10/2023","56,332.52","58,531.78","59,439.16","56,332.52","","-3.76%"
"11/09/2023","58,531.78","58,985.82","59,375.48","57,652.20","","-0.77%"
"11/08/2023","58,985.82","60,154.72","60,383.67","58,985.82","","-1.94%"
"11/07/2023","60,154.72","61,609.38","62,290.49","60,154.72","","-2.36%"
"11/03/2023","61,609.38","59,815.18","61,881.03","59,791.74","","3.00%"
"11/02/2023","59,815.18","58,173.00","59,908.82","58,142.39","","2.82%"
"11/01/2023","58,173.00","58,800.50","59,412.40","58,168.32","","-1.07%"
"10/31/2023","58,800.50","58,245.04","60,583.48","58,245.04","","0.95%"
"10/27/2023","58,245.04","57,493.58","58,811.22","57,465.25","","1.31%"
"10/26/2023","57,493.58","60,374.71","60,919.85","57,485.13","","-4.77%"
"10/25/2023","60,374.71","60,958.98","60,958.98","58,365.64","","-0.96%"
"10/24/2023","60,958.98","63,455.81","63,736.91","60,007.62","","-3.93%"
"10/23/2023","63,455.81","54,964.48","63,455.81","54,964.48","","15.45%"
"10/20/2023","54,964.48","52,922.53","55,513.88","52,922.53","","3.86%"
"10/19/2023","52,922.53","48,209.21","52,922.53","48,207.81","","9.78%"
"10/18/2023","48,209.21","46,957.16","48,239.32","46,592.04","","2.67%"
"10/17/2023","46,957.16","46,710.08","46,973.28","46,631.27","","0.53%"
"10/16/2023","46,710.08","44,915.87","46,710.08","44,915.87","","3.99%"
"10/13/2023","44,915.87","44,620.96","44,986.71","44,620.96","","0.66%"
"10/11/2023","44,620.96","44,400.21","45,282.85","44,400.21","","0.50%"
"10/10/2023","44,400.21","44,027.38","44,565.59","43,617.95","","0.85%"
"10/09/2023","44,027.38","44,477.65","44,477.65","43,920.64","","-1.01%"
"10/06/2023","44,477.65","43,958.04","45,145.29","43,958.04","","1.18%"
"10/05/2023","43,958.04","44,909.54","44,969.55","43,869.43","","-2.12%"
"10/04/2023","44,909.54","44,591.51","44,909.54","44,417.66","","0.71%"
"10/03/2023","44,591.51","43,079.68","44,592.92","43,079.68","","2.43%"
"10/02/2023","43,531.93","42,832.71","44,081.35","42,623.36","","1.63%"
"09/29/2023","42,832.71","40,391.07","42,838.35","40,391.07","","6.05%"
"09/28/2023","40,391.07","39,745.38","41,172.23","39,681.64","","1.62%"
"09/27/2023","39,745.38","39,387.12","40,021.90","39,387.12","","0.91%"
"09/26/2023","39,387.12","39,204.76","39,654.59","39,135.95","","0.47%"
"09/25/2023","39,204.76","38,957.57","39,428.38","38,943.42","","0.63%"
"09/22/2023","38,957.57","39,063.73","39,089.77","38,779.70","","-0.27%"
"09/21/2023","39,063.73","39,053.59","39,407.89","39,053.59","","0.03%"
"09/20/2023","39,053.59","39,068.79","39,405.84","39,007.67","","-0.04%"
"09/19/2023","39,068.79","39,117.92","39,261.38","39,067.26","","-0.13%"
"09/18/2023","39,117.92","38,658.05","39,237.54","38,649.28","","1.19%"
"09/15/2023","38,658.05","38,257.94","38,907.45","38,257.94","","1.05%"
"09/14/2023","38,257.94","39,109.84","39,116.40","38,216.38","","-2.18%"
"09/13/2023","39,109.84","38,823.69","39,611.48","38,798.56","","0.74%"
"09/12/2023","38,823.69","38,842.81","38,991.36","38,660.88","","-0.05%"
"09/08/2023","38,842.81","38,524.86","38,842.81","38,510.08","","0.83%"
"09/07/2023","38,524.86","38,935.81","38,935.81","38,515.00","","-1.06%"
"09/06/2023","38,935.81","38,691.40","39,684.83","38,627.31","","0.63%"
