,Month,Day,Year,Open,High,Low,Close,Adj_Close,Volume
0,Sep,"08,",2023,"3,141.20","3,156.82","3,123.99","3,143.69","3,143.69","2,184,800"
1,Sep,"07,",2023,"3,175.03","3,175.16","3,133.99","3,139.94","3,139.94","2,680,700"
2,Sep,"06,",2023,"3,193.00","3,193.24","3,167.53","3,175.66","3,175.66","2,371,800"
3,Sep,"05,",2023,"3,179.13","3,204.07","3,170.24","3,193.31","3,193.31","2,212,100"
4,Sep,"04,",2023,"3,170.63","3,192.09","3,169.71","3,179.13","3,179.13","1,680,700"
5,Sep,"01,",2023,"3,153.62","3,182.29","3,150.80","3,170.81","3,170.81","2,174,000"
6,Aug,"31,",2023,"3,168.80","3,185.43","3,154.14","3,154.14","3,154.14","4,328,900"
7,Aug,"30,",2023,"3,153.24","3,179.43","3,152.51","3,168.56","3,168.56","1,915,600"
8,Aug,"29,",2023,"3,127.47","3,154.48","3,126.73","3,153.05","3,153.05","1,883,700"
9,Aug,"28,",2023,"3,099.18","3,130.79","3,099.05","3,127.47","3,127.47","1,255,200"
10,Aug,"25,",2023,"3,094.33","3,115.00","3,092.63","3,098.91","3,098.91","1,830,000"
11,Aug,"24,",2023,"3,098.59","3,116.63","3,090.72","3,094.07","3,094.07","1,603,200"
12,Aug,"23,",2023,"3,138.62","3,152.11","3,097.07","3,098.59","3,098.59","2,056,200"
13,Aug,"22,",2023,"3,116.60","3,151.98","3,116.60","3,138.51","3,138.51","1,892,000"
14,Aug,"21,",2023,"3,116.59","3,139.11","3,110.17","3,115.32","3,115.32","1,871,500"
15,Aug,"18,",2023,"3,125.78","3,125.78","3,095.73","3,117.28","3,117.28","2,200,100"
16,Aug,"17,",2023,"3,140.02","3,147.02","3,119.79","3,125.66","3,125.66","1,998,500"
17,Aug,"16,",2023,"3,125.39","3,152.47","3,115.73","3,140.75","3,140.75","1,991,300"
18,Aug,"15,",2023,"3,148.15","3,156.21","3,121.14","3,124.52","3,124.52","1,417,300"
19,Aug,"14,",2023,"3,147.14","3,158.52","3,136.66","3,148.32","3,148.32","1,389,200"
20,Aug,"11,",2023,"3,173.65","3,175.25","3,136.87","3,147.14","3,147.14","2,440,700"
21,Aug,"10,",2023,"3,183.82","3,185.03","3,166.74","3,172.35","3,172.35","3,117,100"
22,Aug,"09,",2023,"3,171.33","3,189.72","3,166.73","3,183.66","3,183.66","2,209,300"
23,Aug,"08,",2023,"3,206.41","3,206.41","3,151.33","3,167.52","3,167.52","2,543,400"
24,Aug,"07,",2023,"3,200.08","3,211.17","3,187.14","3,206.41","3,206.41","1,787,800"
25,Aug,"04,",2023,"3,193.10","3,207.65","3,186.17","3,200.02","3,200.02","2,024,900"
26,Aug,"03,",2023,"3,182.32","3,193.92","3,152.60","3,193.32","3,193.32","2,378,600"
