,Month,Day,Year,Open,High,Low,Close,Adj_Close,Volume
0,Sep,"08,",2023,"3,657.78","3,670.82","3,632.40","3,655.70","3,655.70","4,300"
1,Sep,"07,",2023,"3,643.46","3,668.46","3,638.32","3,645.47","3,645.47","3,800"
2,Sep,"06,",2023,"3,647.37","3,679.81","3,642.36","3,673.29","3,673.29","4,800"
3,Sep,"05,",2023,"3,641.51","3,674.43","3,641.51","3,652.31","3,652.31","3,400"
4,Sep,"04,",2023,"3,682.22","3,685.08","3,652.39","3,656.70","3,656.70","3,015,500"
5,Sep,"01,",2023,"3,663.83","3,691.21","3,653.64","3,682.86","3,682.86","3,700"
6,Aug,"31,",2023,"3,660.52","3,676.84","3,656.16","3,665.97","3,665.97","9,107,300"
7,Aug,"30,",2023,"3,684.68","3,695.29","3,663.76","3,665.36","3,665.36","4,300"
8,Aug,"29,",2023,"3,661.54","3,687.89","3,661.54","3,685.56","3,685.56","4,100"
9,Aug,"28,",2023,"3,644.89","3,663.99","3,639.47","3,653.47","3,653.47","3,000"
10,Aug,"25,",2023,"3,613.99","3,642.32","3,613.69","3,622.42","3,622.42","3,100"
11,Aug,"24,",2023,"3,639.46","3,651.25","3,619.41","3,619.41","3,619.41","3,500"
12,Aug,"23,",2023,"3,631.78","3,642.95","3,614.81","3,622.93","3,622.93","3,600"
13,Aug,"22,",2023,"3,610.48","3,639.15","3,610.48","3,624.70","3,624.70","3,400"
14,Aug,"21,",2023,"3,582.21","3,596.34","3,582.21","3,596.34","3,596.34","3,500"
15,Aug,"18,",2023,"3,604.66","3,606.82","3,563.67","3,579.03","3,579.03","4,000"
16,Aug,"17,",2023,"3,629.39","3,642.61","3,612.92","3,615.56","3,615.56","3,700"
17,Aug,"16,",2023,"3,661.91","3,667.29","3,644.18","3,644.18","3,644.18","3,800"
18,Aug,"15,",2023,"3,691.20","3,691.20","3,651.42","3,672.40","3,672.40","3,400"
19,Aug,"14,",2023,"3,674.62","3,696.51","3,674.08","3,687.05","3,687.05","3,100"
20,Aug,"11,",2023,"3,709.41","3,716.55","3,680.98","3,684.94","3,684.94","3,700"
21,Aug,"10,",2023,"3,695.24","3,728.58","3,690.34","3,718.92","3,718.92","5,600"
22,Aug,"09,",2023,"3,722.93","3,726.76","3,711.29","3,713.75","3,713.75","3,200"
23,Aug,"08,",2023,"3,689.66","3,716.53","3,689.51","3,699.10","3,699.10","4,300"
24,Aug,"07,",2023,"3,720.24","3,733.43","3,705.07","3,716.02","3,716.02","3,537,700"
25,Aug,"04,",2023,"3,718.59","3,731.41","3,703.92","3,731.41","3,731.41","5,007,400"
26,Aug,"03,",2023,"3,733.82","3,738.36","3,703.16","3,714.79","3,714.79","6,116,200"
27,Aug,"02,",2023,"3,723.39","3,747.21","3,704.64","3,726.53","3,726.53","5,839,900"
28,Aug,"01,",2023,"3,783.39","3,791.79","3,760.48","3,760.48","3,760.48","4,808,600"
29,Jul,"31,",2023,"3,748.28","3,790.28","3,747.27","3,776.61","3,776.61","5,185,700"
30,Jul,"28,",2023,"3,792.57","3,794.25","3,771.10","3,788.39","3,788.39","4,732,500"
31,Jul,"27,",2023,"3,791.34","3,820.06","3,791.34","3,802.65","3,802.65","4,900"
32,Jul,"26,",2023,"3,809.55","3,809.55","3,763.84","3,791.58","3,791.58","3,700"
33,Jul,"25,",2023,"3,789.13","3,823.25","3,785.76","3,815.25","3,815.25","3,800"
34,Jul,"24,",2023,"3,783.78","3,807.21","3,771.61","3,787.64","3,787.64","3,400"
35,Jul,"21,",2023,"3,774.94","3,801.51","3,772.14","3,797.75","3,797.75","4,000"
36,Jul,"20,",2023,"3,745.78","3,784.90","3,745.78","3,776.22","3,776.22","4,800"
37,Jul,"19,",2023,"3,721.16","3,764.57","3,712.97","3,751.40","3,751.40","5,800"
38,Jul,"18,",2023,"3,681.69","3,696.81","3,678.63","3,694.40","3,694.40","3,300"
39,Jul,"17,",2023,"3,551.21","3,697.32","3,551.21","3,685.24","3,685.24","3,800"
40,Jul,"14,",2023,"3,564.64","3,584.35","3,562.63","3,563.35","3,563.35","3,300"
41,Jul,"13,",2023,"3,569.47","3,592.40","3,569.17","3,571.64","3,571.64","4,100"
42,Jul,"12,",2023,"3,538.96","3,580.64","3,530.56","3,574.99","3,574.99","5,400"
43,Jul,"11,",2023,"3,513.85","3,540.68","3,507.64","3,534.85","3,534.85","4,000"
44,Jul,"10,",2023,"3,487.79","3,518.38","3,487.38","3,507.13","3,507.13","3,700"
45,Jul,"07,",2023,"3,488.99","3,517.08","3,485.04","3,502.90","3,502.90","4,200"
46,Jul,"06,",2023,"3,530.52","3,539.62","3,487.13","3,495.58","3,495.58","5,500"
47,Jul,"05,",2023,"3,541.19","3,550.34","3,532.54","3,550.34","3,550.34","4,600"
48,Jul,"04,",2023,"3,546.63","3,571.76","3,541.76","3,558.79","3,558.79","3,400"
49,Jul,"03,",2023,"3,549.15","3,565.64","3,540.33","3,542.34","3,542.34","3,900"
50,Jun,"30,",2023,"3,501.55","3,551.17","3,501.55","3,543.18","3,543.18","6,700"
