,Month,Day,Year,Open,High,Low,Close,Adj_Close,Volume
0,8,Sept,2023,0.5658,0.5658,0.5658,0.5658,0.5658,-
1,7,Sept,2023,0.5628,0.5628,0.5628,0.5628,0.5628,-
2,6,Sept,2023,0.5569,0.5569,0.5569,0.5569,0.5569,-
3,5,Sept,2023,0.5583,0.5583,0.5583,0.5583,0.5583,-
4,4,Sept,2023,0.5642,0.5642,0.5642,0.5642,0.5642,-
5,1,Sept,2023,0.5620,0.5620,0.5620,0.5620,0.5620,-
6,31,Aug,2023,0.5680,0.5680,0.5680,0.5680,0.5680,-
7,30,Aug,2023,0.5697,0.5697,0.5697,0.5697,0.5697,-
8,29,Aug,2023,0.5627,0.5627,0.5627,0.5627,0.5627,-
9,25,Aug,2023,0.5533,0.5533,0.5533,0.5533,0.5533,-
10,24,Aug,2023,0.5501,0.5501,0.5501,0.5501,0.5501,-
11,23,Aug,2023,0.5452,0.5452,0.5452,0.5452,0.5452,-
12,22,Aug,2023,0.5444,0.5444,0.5444,0.5444,0.5444,-
13,21,Aug,2023,0.5466,0.5466,0.5466,0.5466,0.5466,-
14,18,Aug,2023,0.5433,0.5433,0.5433,0.5433,0.5433,-
15,17,Aug,2023,0.5365,0.5365,0.5365,0.5365,0.5365,-
16,16,Aug,2023,0.5311,0.5311,0.5311,0.5311,0.5311,-
17,15,Aug,2023,0.5332,0.5332,0.5332,0.5332,0.5332,-
18,14,Aug,2023,0.5257,0.5257,0.5257,0.5257,0.5257,-
19,11,Aug,2023,0.5295,0.5295,0.5295,0.5295,0.5295,-
20,10,Aug,2023,0.5340,0.5340,0.5340,0.5340,0.5340,-
21,9,Aug,2023,0.5283,0.5283,0.5283,0.5283,0.5283,-
22,8,Aug,2023,0.5239,0.5239,0.5239,0.5239,0.5239,-
23,7,Aug,2023,0.5314,0.5314,0.5314,0.5314,0.5314,-
24,4,Aug,2023,0.5247,0.5247,0.5247,0.5247,0.5247,-
25,3,Aug,2023,0.5164,0.5164,0.5164,0.5164,0.5164,-
26,2,Aug,2023,0.5131,0.5131,0.5131,0.5131,0.5131,-
27,1,Aug,2023,0.5141,0.5141,0.5141,0.5141,0.5141,-
28,31,Jul,2023,0.5125,0.5125,0.5125,0.5125,0.5125,-
29,28,Jul,2023,0.5085,0.5085,0.5085,0.5085,0.5085,-
30,27,Jul,2023,0.5081,0.5081,0.5081,0.5081,0.5081,-
31,26,Jul,2023,0.5070,0.5070,0.5070,0.5070,0.5070,-
32,25,Jul,2023,0.5065,0.5065,0.5065,0.5065,0.5065,-
33,24,Jul,2023,0.5060,0.5060,0.5060,0.5060,0.5060,-
34,21,Jul,2023,0.5066,0.5066,0.5066,0.5066,0.5066,-
35,20,Jul,2023,0.5035,0.5035,0.5035,0.5035,0.5035,-
36,19,Jul,2023,0.5006,0.5006,0.5006,0.5006,0.5006,-
37,18,Jul,2023,0.4967,0.4967,0.4967,0.4967,0.4967,-
38,17,Jul,2023,0.5054,0.5054,0.5054,0.5054,0.5054,-
39,14,Jul,2023,0.5060,0.5060,0.5060,0.5060,0.5060,-
40,13,Jul,2023,0.5099,0.5099,0.5099,0.5099,0.5099,-
41,12,Jul,2023,0.5099,0.5099,0.5099,0.5099,0.5099,-
