date,reporter,partner,flow,value,code,desc
2021-01-01,Norway,World,Export,2913414121.554,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-01-01,Norway,Canada,Export,36724313.914,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-01-01,Norway,China,Export,932938985.471,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-01-01,Norway,Finland,Export,28454967.542,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-01-01,Norway,France,Export,90576161.87,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-01-01,Norway,Germany,Export,148328654.265,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-01-01,Norway,Netherlands,Export,387992470.257,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-01-01,Norway,Poland,Export,43942933.795,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-01-01,Norway,Spain,Export,33890334.971,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-01-01,Norway,Sweden,Export,452320844.561,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-01-01,Norway,United Arab Emirates,Export,29922111.528,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-01-01,Norway,United Kingdom,Export,728322343.38,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-02-01,Norway,World,Export,2813769236.612,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-02-01,Norway,Canada,Export,41227882.462,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-02-01,Norway,China,Export,768430688.666,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-02-01,Norway,Denmark,Export,106496037.168,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-02-01,Norway,Finland,Export,80023898.529,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-02-01,Norway,France,Export,96350882.986,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-02-01,Norway,Germany,Export,128061846.6,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-02-01,Norway,Italy,Export,40971216.751,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-02-01,Norway,Netherlands,Export,382384833.378,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-02-01,Norway,Singapore,Export,33624009.828,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-02-01,Norway,Spain,Export,41270321.748,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-02-01,Norway,Sweden,Export,396636496.153,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-02-01,Norway,Türkiye,Export,67626607.331,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-02-01,Norway,United Kingdom,Export,630664515.012,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-03-01,Norway,World,Export,3077377640.427,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-03-01,Norway,China,Export,525257362.213,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-03-01,Norway,Denmark,Export,84948426.324,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-03-01,Norway,France,Export,54238327.299,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-03-01,Norway,Germany,Export,143569389.795,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-03-01,Norway,Greece,Export,48469744.144,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-03-01,Norway,Ireland,Export,34142647.781,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-03-01,Norway,Italy,Export,32786213.66,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-03-01,Norway,Netherlands,Export,509335047.879,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-03-01,Norway,Poland,Export,82494500.663,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-03-01,Norway,India,Export,136437515.583,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-03-01,Norway,Sweden,Export,440976236.65,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-03-01,Norway,Türkiye,Export,109915361.042,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-03-01,Norway,United Kingdom,Export,874806867.393,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-04-01,Norway,World,Export,3027326014.749,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-04-01,Norway,Brunei Darussalam,Export,72137039.693,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-04-01,Norway,Canada,Export,64326295.166,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-04-01,Norway,China,Export,213066874.744,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-04-01,Norway,Denmark,Export,2378229.953,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-04-01,Norway,France,Export,143192812.569,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-04-01,Norway,Germany,Export,83272678.421,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-04-01,Norway,Greece,Export,70836051.979,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
2021-04-01,Norway,Ireland,Export,33947875.647,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
