,Month,Day,Year,Open,High,Low,Close,Adj_Close,Volume
0,Sep,"08,",2023,0.8503,0.8503,0.8472,0.8472,0.8472,-
1,Sep,"07,",2023,0.8456,0.8511,0.8456,0.8511,0.8511,-
2,Sep,"06,",2023,0.8198,0.8464,0.8198,0.8464,0.8464,53
3,Sep,"05,",2023,0.8393,0.8414,0.8390,0.8390,0.8390,-
4,Sep,"04,",2023,0.8376,0.8393,0.8349,0.8393,0.8393,-
5,Sep,"01,",2023,0.8330,0.8377,0.8330,0.8377,0.8377,-
6,Aug,"31,",2023,0.8383,0.8383,0.8350,0.8377,0.8377,-
7,Aug,"30,",2023,0.8405,0.8405,0.8376,0.8383,0.8383,-
8,Aug,"29,",2023,0.8384,0.8405,0.8347,0.8405,0.8405,-
9,Aug,"28,",2023,0.8366,0.8374,0.8342,0.8374,0.8374,-
10,Aug,"25,",2023,0.8399,0.8399,0.8338,0.8383,0.8383,-
11,Aug,"24,",2023,0.8280,0.8553,0.8271,0.8399,0.8399,116
12,Aug,"23,",2023,0.8318,0.8430,0.8318,0.8430,0.8430,-
13,Aug,"22,",2023,0.8335,0.8335,0.8317,0.8318,0.8318,-
14,Aug,"21,",2023,0.8350,0.8350,0.8311,0.8335,0.8335,-
15,Aug,"18,",2023,0.8358,0.8358,0.8328,0.8350,0.8350,-
16,Aug,"17,",2023,0.8285,0.8358,0.8285,0.8358,0.8358,-
17,Aug,"16,",2023,0.8326,0.8326,0.8264,0.8284,0.8284,-
18,Aug,"15,",2023,0.8326,0.8327,0.8301,0.8327,0.8327,-
19,Aug,"14,",2023,0.8220,0.8373,0.8220,0.8326,0.8326,53
20,Aug,"11,",2023,0.8250,0.8250,0.8219,0.8219,0.8219,-
21,Aug,"10,",2023,0.8269,0.8269,0.8250,0.8250,0.8250,-
22,Aug,"09,",2023,0.8319,0.8319,0.8265,0.8269,0.8269,-
23,Aug,"08,",2023,0.8419,0.8419,0.8319,0.8319,0.8319,-
24,Aug,"07,",2023,0.8309,0.8419,0.8309,0.8419,0.8419,-
25,Aug,"04,",2023,0.8197,0.8309,0.8197,0.8309,0.8309,-
26,Aug,"03,",2023,0.8160,0.8166,0.8130,0.8166,0.8166,-
27,Aug,"02,",2023,0.8157,0.8350,0.8153,0.8160,0.8160,150
28,Aug,"01,",2023,0.8144,0.8157,0.8115,0.8157,0.8157,-
29,Jul,"31,",2023,0.8082,0.8145,0.8082,0.8145,0.8145,-
30,Jul,"28,",2023,0.8114,0.8114,0.8082,0.8082,0.8082,-
31,Jul,"27,",2023,0.8150,0.8150,0.8068,0.8114,0.8114,-
32,Jul,"26,",2023,0.8137,0.8150,0.8103,0.8150,0.8150,-
33,Jul,"25,",2023,0.8159,0.8159,0.8115,0.8137,0.8137,-
34,Jul,"24,",2023,0.8154,0.8159,0.8147,0.8159,0.8159,-
35,Jul,"21,",2023,0.8122,0.8154,0.8122,0.8154,0.8154,-
36,Jul,"20,",2023,0.8046,0.8123,0.8046,0.8123,0.8123,-
37,Jul,"19,",2023,0.8155,0.8155,0.8127,0.8127,0.8127,-
38,Jul,"18,",2023,0.7989,0.8014,0.7989,0.8014,0.8014,-
39,Jul,"17,",2023,0.7981,0.7989,0.7952,0.7989,0.7989,-
40,Jul,"14,",2023,0.7979,0.7981,0.7948,0.7981,0.7981,-
41,Jul,"13,",2023,0.7956,0.7979,0.7953,0.7979,0.7979,-
42,Jul,"12,",2023,0.7912,0.7948,0.7912,0.7948,0.7948,-
43,Jul,"11,",2023,0.7921,0.7921,0.7898,0.7912,0.7912,-
44,Jul,"10,",2023,0.8094,0.8094,0.7871,0.7921,0.7921,"6,000"
45,Jul,"07,",2023,0.7873,0.7911,0.7873,0.7911,0.7911,-
46,Jul,"06,",2023,0.7891,0.7891,0.7846,0.7846,0.7846,-
47,Jul,"05,",2023,0.7902,0.7902,0.7865,0.7865,0.7865,-
48,Jul,"04,",2023,0.7893,0.7902,0.7888,0.7902,0.7902,-
49,Jul,"03,",2023,0.7905,0.7905,0.7866,0.7893,0.7893,-
50,Jun,"30,",2023,0.7978,0.7978,0.7942,0.7942,0.7942,-
51,Jun,"29,",2023,0.7963,0.7978,0.7962,0.7978,0.7978,-
52,Jun,"28,",2023,0.7970,0.7970,0.7949,0.7963,0.7963,-
53,Jun,"27,",2023,0.7930,0.7970,0.7930,0.7970,0.7970,-
54,Jun,"26,",2023,0.7917,0.7930,0.7882,0.7930,0.7930,-
55,Jun,"23,",2023,0.7863,0.7863,0.7863,0.7863,0.7863,-
56,Jun,"22,",2023,0.7861,0.7886,0.7861,0.7886,0.7886,-
57,Jun,"21,",2023,0.7940,0.7940,0.7885,0.7887,0.7887,-
58,Jun,"20,",2023,0.7795,0.7847,0.7795,0.7847,0.7847,-
59,Jun,"19,",2023,0.7745,0.7795,0.7742,0.7795,0.7795,-
60,Jun,"16,",2023,0.7779,0.7779,0.7685,0.7745,0.7745,-
61,Jun,"15,",2023,0.7759,0.7759,0.7708,0.7742,0.7742,-
62,Jun,"14,",2023,0.7761,0.7778,0.7759,0.7759,0.7759,-
63,Jun,"13,",2023,0.7735,0.7761,0.7722,0.7761,0.7761,-
64,Jun,"12,",2023,0.7667,0.7682,0.7654,0.7682,0.7682,-
65,Jun,"09,",2023,0.7668,0.7668,0.7646,0.7668,0.7668,-
66,Jun,"08,",2023,0.7702,0.7702,0.7641,0.7667,0.7667,-
67,Jun,"07,",2023,0.7590,0.7667,0.7590,0.7667,0.7667,-
68,Jun,"06,",2023,0.7609,0.7609,0.7561,0.7590,0.7590,-
69,Jun,"05,",2023,0.7606,0.7612,0.7584,0.7612,0.7612,-
70,Jun,"02,",2023,0.7628,0.7628,0.7592,0.7606,0.7606,-
71,Jun,"01,",2023,0.7590,0.7629,0.7586,0.7629,0.7629,-
