,Month,Day,Year,Open,High,Low,Close,Adj_Close,Volume
0,Sep,"08,",2023,"1,730.62","1,737.83","1,716.26","1,726.04","1,726.04","11,594,000"
1,Sep,"07,",2023,"1,724.15","1,729.43","1,715.83","1,723.38","1,723.38","12,353,700"
2,Sep,"06,",2023,"1,726.66","1,732.34","1,707.57","1,730.88","1,730.88","13,159,000"
3,Sep,"05,",2023,"1,749.63","1,752.72","1,737.55","1,737.55","1,737.55","13,929,900"
4,Sep,"04,",2023,"1,756.96","1,770.56","1,753.19","1,754.48","1,754.48","9,456,800"
5,Sep,"01,",2023,"1,740.72","1,754.99","1,737.07","1,753.64","1,753.64","11,124,200"
6,Aug,"31,",2023,"1,752.02","1,759.37","1,735.88","1,736.43","1,736.43","26,724,100"
7,Aug,"30,",2023,"1,789.86","1,793.40","1,752.20","1,753.05","1,753.05","16,959,900"
8,Aug,"29,",2023,"1,789.75","1,800.77","1,788.93","1,796.95","1,796.95","8,908,500"
9,Aug,"28,",2023,"1,774.10","1,788.21","1,774.10","1,785.05","1,785.05","5,980,900"
10,Aug,"25,",2023,"1,764.97","1,773.99","1,761.20","1,764.53","1,764.53","8,271,500"
11,Aug,"24,",2023,"1,773.20","1,789.01","1,769.79","1,772.70","1,772.70","11,646,500"
12,Aug,"23,",2023,"1,763.47","1,775.18","1,760.83","1,769.66","1,769.66","14,490,700"
13,Aug,"22,",2023,"1,754.91","1,764.72","1,753.95","1,757.92","1,757.92","9,069,900"
14,Aug,"21,",2023,"1,747.28","1,763.00","1,746.95","1,747.72","1,747.72","9,314,800"
15,Aug,"18,",2023,"1,747.36","1,751.06","1,735.63","1,742.67","1,742.67","11,484,100"
16,Aug,"17,",2023,"1,759.76","1,768.29","1,754.04","1,756.68","1,756.68","15,895,300"
17,Aug,"16,",2023,"1,768.21","1,777.67","1,763.31","1,775.01","1,775.01","11,158,300"
18,Aug,"15,",2023,"1,781.43","1,785.57","1,766.25","1,768.14","1,768.14","10,699,900"
