,Month,Day,Year,Open,High,Low,Close,Adj_Close,Volume
0,Sep,"08,",2023,"8,196.00","8,280.00","8,070.00","8,264.00","8,264.00","3,533,302"
1,Sep,"07,",2023,"8,070.00","8,226.00","7,950.00","8,176.00","8,176.00","7,196,204"
2,Sep,"06,",2023,"8,158.00","8,272.00","8,106.00","8,264.00","8,264.00","415,921"
3,Sep,"05,",2023,"8,150.00","8,216.00","8,094.00","8,158.00","8,158.00","1,022,394"
4,Sep,"04,",2023,"8,200.00","8,236.00","8,148.00","8,168.00","8,168.00","312,014"
5,Sep,"01,",2023,"8,180.00","8,246.00","8,154.00","8,176.00","8,176.00","648,083"
6,Aug,"31,",2023,"8,176.00","8,218.00","8,138.00","8,178.00","8,178.00","1,204,781"
7,Aug,"30,",2023,"8,222.00","8,260.00","8,190.00","8,196.00","8,196.00","544,787"
8,Aug,"29,",2023,"8,278.00","8,280.72","8,172.00","8,200.00","8,200.00","1,185,069"
9,Aug,"25,",2023,"8,166.00","8,256.00","8,166.00","8,182.00","8,182.00","478,539"
10,Aug,"24,",2023,"8,188.00","8,262.00","8,162.00","8,172.00","8,172.00","337,921"
11,Aug,"23,",2023,"8,026.00","8,132.00","8,012.00","8,128.00","8,128.00","841,497"
12,Aug,"22,",2023,"8,106.00","8,120.00","8,004.00","8,042.00","8,042.00","2,186,330"
13,Aug,"21,",2023,"8,046.00","8,068.00","8,015.28","8,068.00","8,068.00","2,801,193"
14,Aug,"18,",2023,"8,052.00","8,070.00","7,988.00","8,038.00","8,038.00","752,006"
15,Aug,"17,",2023,"8,112.00","8,162.00","8,074.00","8,076.00","8,076.00","668,535"
16,Aug,"17,",2023,37.5,Dividend,,,,
17,Aug,"16,",2023,"8,154.00","8,208.00","8,138.00","8,158.00","8,120.50","648,616"
18,Aug,"15,",2023,"8,268.00","8,278.00","8,186.00","8,200.00","8,162.31","540,037"
19,Aug,"14,",2023,"8,292.00","8,324.00","8,236.00","8,290.00","8,251.89","464,723"
20,Aug,"11,",2023,"8,332.00","8,339.03","8,246.00","8,270.00","8,231.99","1,203,704"
21,Aug,"10,",2023,"8,282.00","8,362.00","8,270.00","8,354.00","8,315.60","766,971"
22,Aug,"09,",2023,"8,344.00","8,350.00","8,200.00","8,254.00","8,216.06","1,347,162"
23,Aug,"08,",2023,"8,204.00","8,356.00","8,204.00","8,274.00","8,235.97","941,798"
24,Aug,"07,",2023,"8,100.00","8,218.00","8,100.00","8,206.00","8,168.28","1,037,677"
25,Aug,"04,",2023,"8,140.00","8,216.00","8,040.00","8,138.00","8,100.59","1,028,934"
26,Aug,"03,",2023,"7,916.00","8,210.00","7,784.00","8,188.00","8,150.36","2,442,654"
27,Aug,"02,",2023,"8,248.00","8,310.00","8,176.00","8,286.00","8,247.91","579,478"
28,Aug,"01,",2023,"8,448.00","8,484.00","8,278.00","8,346.00","8,307.64","696,020"
29,Jul,"31,",2023,"8,518.00","8,542.00","8,450.00","8,462.00","8,423.10","549,179"
30,Jul,"28,",2023,"8,464.00","8,564.00","8,454.40","8,528.00","8,488.80","411,578"
31,Jul,"27,",2023,"8,484.00","8,558.00","8,430.00","8,476.00","8,437.04","1,072,747"
32,Jul,"26,",2023,"8,416.00","8,468.00","8,372.00","8,468.00","8,429.08","692,070"
33,Jul,"25,",2023,"8,328.00","8,418.00","8,270.00","8,398.00","8,359.40","2,226,939"
34,Jul,"24,",2023,"8,300.00","8,406.00","8,300.00","8,346.00","8,307.64","1,724,106"
35,Jul,"21,",2023,"8,426.00","8,434.00","8,300.00","8,312.00","8,273.79","2,212,917"
36,Jul,"20,",2023,"8,384.00","8,453.36","8,354.00","8,422.00","8,383.29","2,150,632"
37,Jul,"19,",2023,"8,352.00","8,454.00","8,336.00","8,400.00","8,361.39","1,183,715"
38,Jul,"18,",2023,"8,344.00","8,344.00","8,266.00","8,308.00","8,269.81","1,099,189"
39,Jul,"17,",2023,"8,250.00","8,322.00","8,236.00","8,300.00","8,261.85","917,876"
40,Jul,"14,",2023,"8,070.00","8,318.00","8,070.00","8,290.00","8,251.89","1,268,546"
41,Jul,"13,",2023,"8,018.00","8,108.00","7,970.00","8,092.00","8,054.80","862,736"
42,Jul,"12,",2023,"8,024.00","8,078.00","7,976.00","7,986.00","7,949.29","1,065,892"
43,Jul,"11,",2023,"8,120.00","8,120.00","7,984.00","8,004.00","7,967.21","1,362,388"
44,Jul,"10,",2023,"8,110.00","8,148.00","8,054.00","8,080.00","8,042.86","812,970"
45,Jul,"07,",2023,"8,026.00","8,090.00","7,968.00","8,090.00","8,052.81","1,439,188"
46,Jul,"06,",2023,"8,170.00","8,214.00","8,046.00","8,086.00","8,048.83","1,170,466"
47,Jul,"05,",2023,"8,176.00","8,242.00","8,164.00","8,204.00","8,166.29","1,059,205"
48,Jul,"04,",2023,"8,278.00","8,360.00","8,224.00","8,240.00","8,202.12","513,250"
49,Jul,"03,",2023,"8,338.00","8,360.00","8,248.00","8,252.00","8,214.07","1,433,368"
50,Jun,"30,",2023,"8,372.00","8,414.00","8,332.00","8,366.00","8,327.54","2,256,357"
51,Jun,"29,",2023,"8,396.00","8,418.00","8,266.00","8,320.00","8,281.76","1,157,071"
52,Jun,"28,",2023,"8,420.00","8,446.00","8,368.00","8,390.00","8,351.43","950,657"
53,Jun,"27,",2023,"8,366.00","8,388.00","8,316.00","8,358.00","8,319.58","847,622"
54,Jun,"26,",2023,"8,440.00","8,464.00","8,366.00","8,414.00","8,375.32","1,210,754"
55,Jun,"23,",2023,"8,402.00","8,462.00","8,342.00","8,422.00","8,383.29","1,028,876"
56,Jun,"22,",2023,"8,498.00","8,508.00","8,390.00","8,446.00","8,407.18","1,101,975"
57,Jun,"21,",2023,"8,602.00","8,680.00","8,536.50","8,540.00","8,500.74","1,523,627"
58,Jun,"20,",2023,"8,624.00","8,672.00","8,604.00","8,636.00","8,596.30","1,276,522"
59,Jun,"19,",2023,"8,730.00","8,730.00","8,646.00","8,646.00","8,606.26","707,898"
60,Jun,"16,",2023,"8,762.00","8,804.20","8,719.13","8,720.00","8,679.92","3,098,371"
61,Jun,"15,",2023,"8,666.00","8,794.00","8,629.00","8,766.00","8,725.71","769,408"
62,Jun,"14,",2023,"8,680.00","8,704.00","8,606.00","8,658.00","8,618.20","1,573,032"
63,Jun,"13,",2023,"8,698.00","8,784.00","8,678.00","8,702.00","8,662.00","791,279"
64,Jun,"12,",2023,"8,706.00","8,758.00","8,648.00","8,678.00","8,638.11","900,016"
65,Jun,"09,",2023,"8,748.00","8,758.00","8,620.60","8,650.00","8,610.24","1,586,689"
66,Jun,"08,",2023,"8,704.00","8,764.00","8,636.00","8,740.00","8,699.83","1,483,961"
67,Jun,"07,",2023,"8,760.00","8,802.00","8,698.00","8,742.00","8,701.82","1,639,588"
68,Jun,"06,",2023,"8,628.00","8,818.00","8,628.00","8,774.00","8,733.67","1,909,302"
69,Jun,"05,",2023,"8,496.00","8,662.00","8,466.00","8,662.00","8,622.18","1,636,322"
70,Jun,"02,",2023,"8,470.00","8,564.00","8,446.00","8,494.00","8,454.96","3,299,925"
71,Jun,"01,",2023,"8,506.00","8,618.00","8,450.00","8,458.00","8,419.12","1,240,308"
72,May,"31,",2023,"8,434.00","8,576.00","8,428.00","8,550.00","8,510.70","3,352,290"
73,May,"30,",2023,"8,498.00","8,518.00","8,452.00","8,480.00","8,441.02","1,044,160"
74,May,"26,",2023,"8,342.00","8,500.00","8,320.00","8,484.00","8,445.00","1,364,057"
75,May,"25,",2023,"8,234.00","8,340.00","8,214.00","8,338.00","8,299.67","1,171,173"
76,May,"24,",2023,"8,474.00","8,474.00","8,236.00","8,302.00","8,263.84","2,320,779"
77,May,"23,",2023,"8,482.00","8,562.00","8,434.00","8,478.00","8,439.03","2,456,213"
78,May,"22,",2023,"8,460.00","8,482.00","8,400.00","8,472.00","8,433.06","7,560,767"
79,May,"19,",2023,"8,398.00","8,436.00","8,326.00","8,436.00","8,397.22","5,323,668"
80,May,"18,",2023,"8,300.00","8,406.00","8,260.68","8,364.00","8,325.55","2,805,555"
81,May,"17,",2023,"8,100.00","8,292.00","8,038.00","8,244.00","8,206.10","8,360,282"
82,May,"16,",2023,"8,436.00","8,502.71","8,436.00","8,472.00","8,433.06","420,787"
83,May,"15,",2023,"8,542.00","8,576.00","8,426.00","8,456.00","8,417.13","557,223"
84,May,"12,",2023,"8,526.00","8,592.00","8,506.00","8,554.00","8,514.68","750,842"
85,May,"11,",2023,"8,488.00","8,584.43","8,470.00","8,504.00","8,464.91","1,381,780"
86,May,"10,",2023,"8,402.00","8,460.00","8,380.00","8,458.00","8,419.12","656,365"
87,May,"09,",2023,"8,390.00","8,414.00","8,316.00","8,380.00","8,341.48","791,846"
88,May,"05,",2023,"8,412.00","8,466.00","8,316.00","8,358.00","8,319.58","466,038"
89,May,"04,",2023,"8,344.00","8,400.00","8,282.00","8,370.00","8,331.53","762,259"
90,May,"03,",2023,"8,404.00","8,426.00","8,268.00","8,318.00","8,279.76","1,155,119"
91,May,"02,",2023,"8,380.00","8,438.00","8,290.00","8,370.00","8,331.53","2,440,506"
92,Apr,"28,",2023,"8,110.00","8,346.00","8,110.00","8,346.00","8,307.64","4,000,407"
93,Apr,"27,",2023,"7,964.00","8,112.00","7,952.00","8,084.00","8,046.84","1,454,446"
94,Apr,"26,",2023,"8,050.00","8,066.00","7,950.00","7,986.00","7,949.29","1,312,155"
95,Apr,"25,",2023,"7,990.00","8,102.00","7,980.00","8,092.00","8,054.80","948,016"
96,Apr,"24,",2023,"8,054.00","8,080.00","8,026.00","8,032.00","7,995.08","1,100,058"
97,Apr,"21,",2023,"7,948.00","8,084.00","7,934.00","8,084.00","8,046.84","770,191"
98,Apr,"20,",2023,"7,838.00","7,974.00","7,810.00","7,952.00","7,915.45","1,243,867"
99,Apr,"20,",2023,75.3,Dividend,,,,
100,Apr,"19,",2023,"7,858.00","7,952.00","7,848.00","7,930.00","7,818.59","448,612"
101,Apr,"18,",2023,"7,912.00","7,912.00","7,802.00","7,902.00","7,790.99","811,095"
102,Apr,"17,",2023,"7,914.00","7,960.00","7,838.00","7,868.00","7,757.46","1,290,742"
103,Apr,"14,",2023,"8,032.00","8,062.00","7,954.00","7,958.00","7,846.20","853,438"
104,Apr,"13,",2023,"7,996.00","8,088.00","7,962.00","8,020.00","7,907.33","685,482"
105,Apr,"12,",2023,"7,906.00","8,020.00","7,898.00","7,978.00","7,865.92","1,459,663"
106,Apr,"11,",2023,"8,048.00","8,060.00","7,832.00","7,928.00","7,816.62","1,843,801"
107,Apr,"06,",2023,"7,896.00","8,022.00","7,860.00","8,022.00","7,909.30","689,035"
108,Apr,"05,",2023,"7,876.00","7,976.00","7,846.00","7,888.00","7,777.18","780,347"
109,Apr,"04,",2023,"7,776.00","7,880.00","7,748.00","7,852.00","7,741.69","1,383,661"
110,Apr,"03,",2023,"7,880.00","7,900.00","7,706.00","7,740.00","7,631.26","890,254"
111,Mar,"31,",2023,"7,836.00","8,893.86","7,826.00","7,868.00","7,757.46","1,260,966"
112,Mar,"30,",2023,"7,906.00","7,908.00","7,772.00","7,828.00","7,718.03","1,251,125"
113,Mar,"29,",2023,"7,786.00","7,874.00","7,786.00","7,864.00","7,753.52","1,429,615"
114,Mar,"28,",2023,"7,848.00","7,848.00","7,762.00","7,794.00","7,684.50","2,241,503"
115,Mar,"27,",2023,"7,786.00","7,846.00","7,736.02","7,802.00","7,692.39","882,327"
116,Mar,"24,",2023,"7,760.00","7,820.00","7,716.00","7,750.00","7,641.12","1,624,708"
117,Mar,"23,",2023,"7,694.00","7,780.00","7,684.00","7,780.00","7,670.70","920,195"
118,Mar,"22,",2023,"7,756.00","7,772.00","7,670.00","7,682.00","7,574.08","3,814,922"
119,Mar,"21,",2023,"7,516.00","7,740.00","7,510.00","7,740.00","7,631.26","1,071,731"
120,Mar,"20,",2023,"7,416.00","7,574.00","7,378.00","7,516.00","7,410.41","1,752,733"
121,Mar,"17,",2023,"7,496.00","7,544.00","7,374.00","7,470.00","7,365.06","3,117,905"
