,Month,Day,Year,Open,High,Low,Close,Adj_Close,Volume
0,Jul,"11,",2023,"7,176.18","7,244.96","7,172.14","7,220.01","7,220.01","43,936,800"
1,Jul,"10,",2023,"7,082.46","7,173.65","7,082.46","7,143.69","7,143.69","41,303,800"
2,Jul,"07,",2023,"7,098.75","7,151.07","7,052.77","7,111.88","7,111.88","55,691,900"
3,Jul,"06,",2023,"7,239.90","7,240.20","7,065.26","7,082.29","7,082.29","83,220,200"
4,Jul,"05,",2023,"7,327.78","7,352.12","7,294.60","7,310.81","7,310.81","60,271,900"
5,Jul,"04,",2023,"7,390.91","7,401.46","7,368.97","7,369.93","7,369.93","38,120,100"
6,Jul,"03,",2023,"7,415.17","7,426.60","7,386.70","7,386.70","7,386.70","46,756,600"
7,Jun,"30,",2023,"7,339.89","7,419.36","7,337.28","7,400.06","7,400.06",-
8,Jun,"29,",2023,"7,295.76","7,349.18","7,288.65","7,312.73","7,312.73","60,930,900"
9,Jun,"28,",2023,"7,250.68","7,292.89","7,250.68","7,286.32","7,286.32","53,588,400"
10,Jun,"27,",2023,"7,212.83","7,236.21","7,161.72","7,215.58","7,215.58","49,886,400"
11,Jun,"26,",2023,"7,175.88","7,203.46","7,105.72","7,184.35","7,184.35","52,606,600"
12,Jun,"23,",2023,"7,165.38","7,193.78","7,128.64","7,163.42","7,163.42","51,938,700"
13,Jun,"22,",2023,"7,194.26","7,206.89","7,145.06","7,203.28","7,203.28","53,704,500"
14,Jun,"21,",2023,"7,273.89","7,297.85","7,246.86","7,260.97","7,260.97","48,414,000"
15,Jun,"20,",2023,"7,303.24","7,322.57","7,281.12","7,294.17","7,294.17","55,853,400"
16,Jun,"19,",2023,"7,353.31","7,362.44","7,302.63","7,314.05","7,314.05",-
17,Jun,"16,",2023,"7,312.07","7,403.88","7,297.73","7,388.65","7,388.65","170,731,900"
18,Jun,"15,",2023,"7,304.97","7,313.47","7,246.33","7,290.91","7,290.91","60,422,800"
19,Jun,"14,",2023,"7,290.94","7,358.99","7,288.46","7,328.53","7,328.53","66,153,600"
20,Jun,"13,",2023,"7,290.31","7,308.00","7,244.42","7,290.80","7,290.80","65,501,800"
21,Jun,"12,",2023,"7,250.15","7,283.33","7,237.85","7,250.35","7,250.35","56,911,400"
22,Jun,"09,",2023,"7,230.95","7,239.52","7,185.26","7,213.14","7,213.14",-
23,Jun,"08,",2023,"7,196.22","7,236.15","7,184.19","7,222.15","7,222.15","51,059,700"
24,Jun,"07,",2023,"7,198.24","7,227.59","7,170.94","7,202.79","7,202.79","50,824,500"
25,Jun,"06,",2023,"7,189.63","7,219.37","7,175.60","7,209.00","7,209.00","53,479,000"
26,Jun,"05,",2023,"7,294.81","7,294.81","7,193.37","7,200.91","7,200.91","54,498,100"
27,Jun,"02,",2023,"7,181.80","7,278.00","7,179.31","7,270.69","7,270.69","71,138,500"
28,Jun,"01,",2023,"7,139.39","7,171.60","7,090.46","7,137.43","7,137.43","58,144,900"
29,May,"31,",2023,"7,136.17","7,185.13","7,083.60","7,098.70","7,098.70","214,675,800"
30,May,"30,",2023,"7,279.88","7,296.38","7,195.38","7,209.75","7,209.75","69,222,900"
31,May,"29,",2023,"7,352.93","7,356.57","7,292.11","7,303.81","7,303.81","33,459,400"
32,May,"26,",2023,"7,256.50","7,334.31","7,208.44","7,319.18","7,319.18","58,221,500"
33,May,"25,",2023,"7,261.05","7,261.05","7,197.40","7,229.27","7,229.27","59,437,600"
34,May,"24,",2023,"7,306.14","7,308.59","7,223.58","7,253.46","7,253.46","77,511,200"
35,May,"23,",2023,"7,457.18","7,459.37","7,378.71","7,378.71","7,378.71","65,786,700"
36,May,"22,",2023,"7,467.93","7,493.38","7,452.69","7,478.16","7,478.16","57,439,200"
37,May,"19,",2023,"7,469.78","7,523.56","7,463.96","7,491.96","7,491.96","67,973,200"
38,May,"18,",2023,"7,440.75","7,481.78","7,426.39","7,446.89","7,446.89","59,991,600"
39,May,"17,",2023,"7,378.83","7,422.58","7,354.54","7,399.44","7,399.44","57,783,800"
40,May,"16,",2023,"7,394.85","7,427.57","7,377.81","7,406.01","7,406.01","61,261,800"
41,May,"15,",2023,"7,443.38","7,455.63","7,397.86","7,418.21","7,418.21","48,638,700"
42,May,"12,",2023,"7,420.41","7,463.70","7,395.60","7,414.85","7,414.85",-
43,May,"11,",2023,"7,383.58","7,436.94","7,333.92","7,381.78","7,381.78",-
44,May,"10,",2023,"7,403.62","7,416.32","7,337.66","7,361.20","7,361.20","75,389,600"
45,May,"09,",2023,"7,415.01","7,419.90","7,358.45","7,397.17","7,397.17","63,457,500"
46,May,"08,",2023,"7,427.96","7,456.46","7,416.22","7,440.91","7,440.91","46,786,900"
47,May,"05,",2023,"7,388.01","7,437.60","7,354.60","7,432.93","7,432.93","70,692,800"
48,May,"04,",2023,"7,381.40","7,393.02","7,316.14","7,340.77","7,340.77","79,974,300"
49,May,"03,",2023,"7,410.56","7,445.95","7,395.82","7,403.83","7,403.83","61,108,100"
50,May,"02,",2023,"7,466.82","7,505.92","7,374.06","7,383.20","7,383.20","83,037,300"
51,Apr,"28,",2023,"7,498.62","7,505.05","7,403.20","7,491.50","7,491.50","87,006,000"
52,Apr,"27,",2023,"7,450.10","7,507.26","7,446.66","7,483.84","7,483.84","78,104,400"
53,Apr,"26,",2023,"7,496.48","7,508.13","7,427.53","7,466.66","7,466.66","91,913,500"
54,Apr,"25,",2023,"7,528.15","7,541.72","7,504.26","7,531.61","7,531.61","73,945,200"
55,Apr,"24,",2023,"7,545.60","7,581.26","7,545.60","7,573.86","7,573.86","63,568,000"
56,Apr,"21,",2023,"7,551.50","7,577.00","7,518.32","7,577.00","7,577.00","73,188,400"
57,Apr,"20,",2023,"7,541.68","7,546.07","7,506.92","7,538.71","7,538.71","72,892,900"
58,Apr,"19,",2023,"7,530.54","7,558.95","7,513.77","7,549.44","7,549.44",-
59,Apr,"18,",2023,"7,509.00","7,559.35","7,509.00","7,533.63","7,533.63","67,638,400"
60,Apr,"17,",2023,"7,535.39","7,552.00","7,498.07","7,498.18","7,498.18","67,745,800"
61,Apr,"14,",2023,"7,500.77","7,533.41","7,491.43","7,519.61","7,519.61","71,857,700"
