,1,2,3,4,5,6,7
0,"Aug 31, 2023","18,580.47","18,667.18","18,312.76","18,382.06","18,382.06","4,074,881,200"
1,"Aug 30, 2023","18,659.96","18,742.14","18,427.22","18,482.86","18,482.86","3,288,670,900"
2,"Aug 29, 2023","18,261.69","18,583.80","18,239.92","18,484.03","18,484.03","3,071,235,600"
3,"Aug 28, 2023","18,519.08","18,564.43","18,113.23","18,130.74","18,130.74","2,985,842,200"
4,"Aug 25, 2023","18,037.60","18,137.65","17,969.41","18,119.39","18,119.39","2,467,696,800"
5,"Aug 24, 2023","17,992.73","18,272.95","17,945.01","18,212.17","18,212.17","2,758,913,200"
6,"Aug 23, 2023","17,762.76","18,000.53","17,730.79","17,845.92","17,845.92","2,499,731,900"
7,"Aug 22, 2023","17,641.86","17,965.26","17,573.70","17,791.01","17,791.01","2,895,653,800"
8,"Aug 21, 2023","17,798.47","17,867.66","17,587.38","17,623.29","17,623.29","3,141,863,900"
9,"Aug 18, 2023","18,208.98","18,336.41","17,936.43","17,950.85","17,950.85","3,049,414,000"
10,"Aug 17, 2023","18,023.11","18,399.20","17,900.77","18,326.63","18,326.63","3,160,942,900"
11,"Aug 16, 2023","18,356.65","18,440.96","18,261.85","18,329.30","18,329.30","2,823,625,500"
12,"Aug 15, 2023","18,599.20","18,745.82","18,513.78","18,581.11","18,581.11","2,668,372,200"
13,"Aug 14, 2023","18,697.33","18,792.72","18,554.51","18,773.55","18,773.55","3,890,510,400"
14,"Aug 11, 2023","19,319.91","19,346.29","19,049.92","19,075.19","19,075.19","3,363,828,300"
15,"Aug 10, 2023","19,125.00","19,315.17","19,030.39","19,248.26","19,248.26","2,598,340,600"
16,"Aug 09, 2023","19,059.58","19,270.48","19,056.10","19,246.03","19,246.03","2,264,244,800"
17,"Aug 08, 2023","19,308.55","19,370.80","19,112.61","19,184.17","19,184.17","3,491,048,500"
18,"Aug 07, 2023","19,474.66","19,581.82","19,352.35","19,537.92","19,537.92","2,277,019,400"
19,"Aug 04, 2023","19,671.13","19,857.39","19,461.61","19,539.46","19,539.46","2,771,467,700"
20,"Aug 03, 2023","19,404.14","19,650.16","19,369.06","19,420.87","19,420.87","2,488,071,400"
21,"Aug 02, 2023","19,902.77","19,981.00","19,475.15","19,517.38","19,517.38","2,958,227,800"
22,"Aug 01, 2023","20,211.20","20,331.28","19,891.81","20,011.12","20,011.12","3,013,635,300"
23,"Jul 31, 2023","20,237.53","20,361.03","20,019.79","20,078.94","20,078.94","4,327,873,000"
24,"Jul 28, 2023","19,418.48","19,940.59","19,381.90","19,916.56","19,916.56","3,094,859,900"
25,"Jul 27, 2023","19,502.09","19,685.79","19,482.47","19,639.11","19,639.11","3,028,767,100"
26,"Jul 26, 2023","19,340.77","19,404.50","19,245.66","19,365.14","19,365.14","2,136,512,600"
27,"Jul 25, 2023","19,172.28","19,465.27","19,111.82","19,434.40","19,434.40","3,670,887,000"
28,"Jul 24, 2023","18,867.61","18,946.56","18,562.12","18,668.15","18,668.15","2,212,871,900"
29,"Jul 21, 2023","18,918.70","19,169.75","18,886.43","19,075.26","19,075.26","1,637,013,200"
30,"Jul 20, 2023","19,003.28","19,215.74","18,888.76","18,928.02","18,928.02","1,807,926,400"
31,"Jul 19, 2023","18,826.59","19,004.42","18,711.03","18,952.31","18,952.31","1,982,969,600"
32,"Jul 18, 2023","19,324.34","19,324.34","18,979.92","19,015.72","19,015.72","2,591,229,600"
33,"Jul 14, 2023","19,534.82","19,534.82","19,364.60","19,413.78","19,413.78","2,460,070,700"
34,"Jul 13, 2023","19,181.31","19,368.92","19,163.21","19,350.62","19,350.62","2,729,756,500"
35,"Jul 12, 2023","18,797.01","18,932.18","18,739.60","18,860.95","18,860.95","1,818,311,800"
36,"Jul 11, 2023","18,671.42","18,806.55","18,573.67","18,659.83","18,659.83","2,114,932,400"
37,"Jul 10, 2023","18,747.50","18,781.21","18,417.63","18,479.72","18,479.72","1,953,461,500"
38,"Jul 07, 2023","18,435.46","18,537.75","18,279.73","18,365.70","18,365.70","2,463,266,100"
39,"Jul 06, 2023","18,840.41","18,973.01","18,483.08","18,533.05","18,533.05","3,277,132,300"
40,"Jul 05, 2023","19,355.06","19,378.90","19,095.60","19,110.38","19,110.38","2,432,611,100"
