date,value,reporter,partner
2019-01-01,48392854661,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-02-01,50823882780,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-03-01,51620318346,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-04-01,52860150624,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-05-01,49067214050,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-06-01,48824355811,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-07-01,51488995678,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-08-01,50689668237,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-09-01,51867840899,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-10-01,53250879276,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-11-01,52238437042,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-12-01,55482581918,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-01-01,45809884483,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-02-01,43392872817,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-03-01,44916599891,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-04-01,39788189778,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-05-01,33623107233.000004,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-06-01,37068861669,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-07-01,38375590317,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-08-01,39439404216,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-09-01,44775577037,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-10-01,45206546942,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-11-01,44807248314,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-12-01,50411623688,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-01-01,40225017318,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-02-01,44804861775,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-03-01,53076094131,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-04-01,55800977456,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-05-01,53695212508,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-06-01,61255940819,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-07-01,62447926780,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-08-01,62496767725,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-09-01,63469324019,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-10-01,68139831897,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-11-01,72453180516,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-12-01,79023464389,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-01-01,66794600109.00001,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-02-01,68175176473,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-03-01,65398734063,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-04-01,63816803315,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-05-01,58825136739,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-06-01,60849375037,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-07-01,56153856413,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-08-01,57292348359,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-09-01,56568193991,Community of Independent States (CIS),"All Countries, excluding the IO"
