,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE,Obs_3_@TIME_PERIOD,Obs_3_@OBS_VALUE,Obs_4_@TIME_PERIOD,Obs_4_@OBS_VALUE,Obs_5_@TIME_PERIOD,Obs_5_@OBS_VALUE,Obs_6_@TIME_PERIOD,Obs_6_@OBS_VALUE,Obs_7_@TIME_PERIOD,Obs_7_@OBS_VALUE,Obs_8_@TIME_PERIOD,Obs_8_@OBS_VALUE,Obs_9_@TIME_PERIOD,Obs_9_@OBS_VALUE,Obs_10_@TIME_PERIOD,Obs_10_@OBS_VALUE,Obs_11_@TIME_PERIOD,Obs_11_@OBS_VALUE,Obs_12_@TIME_PERIOD,Obs_12_@OBS_VALUE,Obs_13_@TIME_PERIOD,Obs_13_@OBS_VALUE,Obs_14_@TIME_PERIOD,Obs_14_@OBS_VALUE,Obs_15_@TIME_PERIOD,Obs_15_@OBS_VALUE,Obs_16_@TIME_PERIOD,Obs_16_@OBS_VALUE,Obs_17_@TIME_PERIOD,Obs_17_@OBS_VALUE,Obs_18_@TIME_PERIOD,Obs_18_@OBS_VALUE,Obs_19_@TIME_PERIOD,Obs_19_@OBS_VALUE,Obs_20_@TIME_PERIOD,Obs_20_@OBS_VALUE,Obs_21_@TIME_PERIOD,Obs_21_@OBS_VALUE,Obs_22_@TIME_PERIOD,Obs_22_@OBS_VALUE,Obs_23_@TIME_PERIOD,Obs_23_@OBS_VALUE,Obs_24_@TIME_PERIOD,Obs_24_@OBS_VALUE,Obs_25_@TIME_PERIOD,Obs_25_@OBS_VALUE,Obs_26_@TIME_PERIOD,Obs_26_@OBS_VALUE,Obs_27_@TIME_PERIOD,Obs_27_@OBS_VALUE,Obs_28_@TIME_PERIOD,Obs_28_@OBS_VALUE,Obs_29_@TIME_PERIOD,Obs_29_@OBS_VALUE,Obs_30_@TIME_PERIOD,Obs_30_@OBS_VALUE,Obs_31_@TIME_PERIOD,Obs_31_@OBS_VALUE,Obs_32_@TIME_PERIOD,Obs_32_@OBS_VALUE,Obs_33_@TIME_PERIOD,Obs_33_@OBS_VALUE,Obs_34_@TIME_PERIOD,Obs_34_@OBS_VALUE,Obs_35_@TIME_PERIOD,Obs_35_@OBS_VALUE
0,M,R14,TXG_FOB_USD,W00,6,P1M,2021-01,40366.409222,2021-02,44936.33882,2021-03,53235.231477,2021-04,55970.003295,2021-05,53853.133975,2021-06,61394.23927,2021-07,62554.004521,2021-08,62615.663722,2021-09,63567.316746,2021-10,68231.436551,2021-11,72526.387473,2021-12,79083.230884,2022-01,68225.238612,2022-02,72977.171683,2022-03,73046.619327,2022-04,67540.40301,2022-05,69750.906869,2022-06,74509.577782,2022-07,65669.610102,2022-08,69555.029805,2022-09,68490.043327,2022-10,66220.476878,2022-11,64234.742614,2022-12,74645.978049,2023-01,52894.911501,2023-02,47987.587796,2023-03,62050.038376,2023-04,53175.423909,2023-05,59119.185257,2023-06,51102.492033,2023-07,50826.135722,2023-08,54448.797305,2023-09,56764.466076,2023-10,53829.751609,2023-11,53469.975782,2023-12,56881.085251
1,M,BI,TXG_FOB_USD,W00,6,P1M,2021-01,7.639554,2021-02,12.035633,2021-03,10.157617,2021-04,7.638812,2021-05,8.371864,2021-06,6.705477,2021-07,6.232869,2021-08,10.622327,2021-09,5.81527,2021-10,11.473545,2021-11,51.875298,2021-12,10.991731,2022-01,7.158026,2022-02,36.201094,2022-03,11.99805,2022-04,8.728758,2022-05,7.888134,2022-06,8.048985,2022-07,7.126429,2022-08,11.729789,2022-09,12.407194,2022-10,17.190044,2022-11,46.189305,2022-12,16.185702,2023-01,16.409243,2023-02,7.482632,2023-03,17.686018,2023-04,13.297852,2023-05,10.738818,2023-06,11.12754,2023-07,9.104937,2023-08,9.605277,2023-09,40.880435,2023-10,10.725879,2023-11,9.881062,2023-12,11.031511
2,M,UZ,TXG_FOB_USD,W00,6,P1M,2021-01,527.178672,2021-02,682.792454,2021-03,739.135272,2021-04,895.96839,2021-05,2018.067711,2021-06,1061.650466,2021-07,852.645019,2021-08,886.571483,2021-09,821.371481,2021-10,1918.339982,2021-11,2772.916933,2021-12,904.441972,2022-01,1240.965976,2022-02,2526.296501,2022-03,1444.306007,2022-04,1032.979524,2022-05,998.85249,2022-06,1064.762984,2022-07,962.857509,2022-08,1015.547001,2022-09,938.171992,2022-10,981.557999,2022-11,1539.499049,2022-12,1603.852031,2023-01,1809.497755,2023-02,793.212041,2023-03,2145.492725,2023-04,1566.739552,2023-05,2272.654019,2023-06,883.832938,2023-07,2546.958106,2023-08,987.855964,2023-09,864.701006,2023-10,2179.330988,2023-11,1905.88803,2023-12,1773.624651
3,M,ZW,TXG_FOB_USD,W00,6,P1M,2021-01,282.902635,2021-02,340.994941,2021-03,461.840855,2021-04,444.692641,2021-05,487.133817,2021-06,502.674044,2021-07,629.899249,2021-08,597.278591,2021-09,514.43715,2021-10,535.49878,2021-11,647.599916,2021-12,591.234686,2022-01,543.913448,2022-02,437.979537,2022-03,557.57462,2022-04,587.265948,2022-05,513.149727,2022-06,540.952371,2022-07,548.362737,2022-08,493.585346,2022-09,552.298847,2022-10,502.294837,2022-11,674.6253,2022-12,633.476623,2023-01,427.693314,2023-02,435.870048,2023-03,515.304265,2023-04,555.548441,2023-05,654.242898,2023-06,641.480793,2023-07,603.232366,2023-08,649.787905,2023-09,678.103249,2023-10,831.905298,2023-11,681.338156,2023-12,550.635478
4,M,IE,TXG_FOB_USD,W00,6,P1M,2021-01,15748.980408,2021-02,14504.061934,2021-03,16979.990682,2021-04,14155.420253,2021-05,15852.44252,2021-06,17393.133662,2021-07,15130.019752,2021-08,15125.621511,2021-09,16940.418116,2021-10,17034.199304,2021-11,17358.162023,2021-12,14396.295051,2022-01,17768.749102,2022-02,17538.592839,2022-03,21752.373839,2022-04,18041.379937,2022-05,18413.002034,2022-06,18108.886769,2022-07,14783.526958,2022-08,19227.955717,2022-09,18870.350826,2022-10,16913.745692,2022-11,17025.025314,2022-12,15671.607441,2023-01,16376.905806,2023-02,17583.725962,2023-03,19753.886391,2023-04,16438.689653,2023-05,17758.730899,2023-06,19572.842323,2023-07,17183.802461,2023-08,17385.566358,2023-09,16792.933384,2023-10,18155.665821,2023-11,17600.024355,2023-12,14934.783894
5,M,GY,TXG_FOB_USD,W00,6,P1M,2021-01,782.968365,2021-02,1392.38838,2021-03,1379.623929,2021-04,774.021576,2021-05,1488.342636,2021-06,877.838072,2021-07,924.972272,2021-08,991.180184,2021-09,784.89345,2021-10,682.786749,2021-11,779.575207,2021-12,660.068233,2022-01,1022.211849,2022-02,885.451729,2022-03,1287.083048,2022-04,1623.217618,2022-05,2349.934322,2022-06,2538.719275,2022-07,2726.677635,2022-08,2590.1378,2022-09,2600.482623,2022-10,2423.056688,2022-11,2321.825559,2022-12,2277.418884,2023-01,2289.283014,2023-02,2190.202637,2023-03,2283.53617,2023-04,2270.499804,2023-05,2253.474012,2023-06,2271.932536,2023-07,2251.459592,2023-08,2330.859018,2023-09,1844.664902,2023-10,1839.995337,2023-11,1847.515817,2023-12,1859.935065
6,M,MN,TXG_FOB_USD,W00,6,P1M,2021-01,586.709062,2021-02,651.603417,2021-03,637.149694,2021-04,483.325187,2021-05,817.091133,2021-06,764.874428,2021-07,633.953261,2021-08,899.831158,2021-09,828.024502,2021-10,1159.690615,2021-11,1348.978289,2021-12,430.146657,2022-01,547.818461,2022-02,647.905719,2022-03,767.909792,2022-04,882.796512,2022-05,1286.397733,2022-06,1223.264771,2022-07,1152.403174,2022-08,1283.873122,2022-09,1154.439312,2022-10,1078.608325,2022-11,1122.934941,2022-12,1377.263521,2023-01,1488.921233,2023-02,1756.759247,2023-03,1390.240905,2023-04,1350.161235,2023-05,811.329766,2023-06,1627.88814,2023-07,1112.402871,2023-08,1250.033659,2023-09,1618.832664,2023-10,1310.347585,2023-11,1494.290349,2023-12,1332.575183
7,M,BB,TXG_FOB_USD,W00,6,P1M,2021-01,17.162509,2021-02,21.28933,2021-03,31.1582,2021-04,23.129407,2021-05,23.514015,2021-06,23.492008,2021-07,21.190203,2021-08,20.481177,2021-09,23.0521,2021-10,23.52473,2021-11,24.088829,2021-12,23.445135,2022-01,19.848928,2022-02,20.562565,2022-03,31.65239,2022-04,24.865565,2022-05,29.095471,2022-06,24.319128,2022-07,27.877624,2022-08,38.748315,2022-09,31.055047,2022-10,22.785043,2022-11,24.453614,2022-12,24.803508,2023-01,27.401684,2023-02,23.107713,2023-03,31.618534,2023-04,31.873999,2023-05,32.377128,2023-06,31.882987,2023-07,22.789818,2023-08,30.274479,2023-09,30.637936,2023-10,30.532772,2023-11,26.106771,2023-12,52.09122
8,M,B0,TXG_FOB_USD,W00,6,P1M,2021-01,481359.570197,2021-02,511334.7242,2021-03,600587.087269,2021-04,548665.126149,2021-05,545704.839373,2021-06,587872.599357,2021-07,554622.329962,2021-08,489932.419707,2021-09,577604.164754,2021-10,579433.992261,2021-11,602661.523083,2021-12,564117.227852,2022-01,551522.253936,2022-02,582390.141853,2022-03,658498.560701,2022-04,578945.806251,2022-05,621008.214891,2022-06,627940.916344,2022-07,567357.908087,2022-08,549477.210278,2022-09,616878.313838,2022-10,587709.925461,2022-11,636405.236257,2022-12,583924.219825,2023-01,591453.616146,2023-02,597291.639848,2023-03,676706.034174,2023-04,567709.683813,2023-05,619791.456156,2023-06,636856.46079,2023-07,583695.127293,2023-08,547936.92298,2023-09,590703.330893,2023-10,609503.827995,2023-11,633819.622964,2023-12,536327.318884
9,M,RU,TXG_FOB_USD,W00,6,P1M,2021-01,27007.12724,2021-02,30232.844861,2021-03,36479.728084,2021-04,36829.240129,2021-05,35199.383929,2021-06,42998.701983,2021-07,43387.246587,2021-08,43048.814669,2021-09,45410.549753,2021-10,46227.198309,2021-11,48012.458251,2021-12,57214.765113,2022-01,46419.135762,2022-02,50811.890005,2022-03,55341.938078,2022-04,47686.603977,2022-05,48980.523904,2022-06,53205.423574,2022-07,45369.493626,2022-08,48298.301844,2022-09,46177.87705,2022-10,43537.220747,2022-11,44492.738934,2022-12,54134.979441,2023-01,33174.194901,2023-02,30258.043463,2023-03,40430.348942,2023-04,31176.987289,2023-05,36887.541134,2023-06,34044.534878,2023-07,31203.597696,2023-08,36461.036435,2023-09,39862.70703,2023-10,33887.608596,2023-11,32921.209165,2023-12,35845.418035
10,M,XR43,TXG_FOB_USD,W00,6,P1M,2021-01,670834.821013,2021-02,618879.555653,2021-03,735962.998344,2021-04,742732.844944,2021-05,742497.037431,2021-06,791009.609921,2021-07,788326.998308,2021-08,799615.983131,2021-09,828897.720199,2021-10,835490.95176,2021-11,880356.320745,2021-12,922192.333221,2022-01,856282.780553,2022-02,761699.174293,2022-03,923086.997702,2022-04,883837.179493,2022-05,919752.249916,2022-06,982534.586653,2022-07,928982.676922,2022-08,934004.562067,2022-09,926662.705345,2022-10,872463.403493,2022-11,876149.145031,2022-12,889654.223232,2023-01,822334.632829,2023-02,731247.791396,2023-03,921340.976384,2023-04,817201.481911,2023-05,845235.660631,2023-06,825208.75368,2023-07,808503.855666,2023-08,841833.969679,2023-09,853637.525024,2023-10,838256.989569,2023-11,850751.527461,2023-12,845781.79388
11,M,NL,TXG_FOB_USD,W00,6,P1M,2021-01,60684.717839,2021-02,61964.070193,2021-03,74280.248018,2021-04,66666.411045,2021-05,66953.618508,2021-06,72933.112101,2021-07,69464.10231,2021-08,66098.049045,2021-09,73498.480824,2021-10,71714.608832,2021-11,78299.210473,2021-12,75934.078454,2022-01,72530.95873,2022-02,72028.805382,2022-03,84761.440571,2022-04,77074.404411,2022-05,82350.834797,2022-06,85529.121799,2022-07,76592.006369,2022-08,77934.876568,2022-09,85018.394518,2022-10,82575.049437,2022-11,85930.605798,2022-12,80119.884649,2023-01,81858.422238,2023-02,78015.904758,2023-03,85657.12777,2023-04,71473.698226,2023-05,79666.155349,2023-06,80349.561396,2023-07,74165.095315,2023-08,74998.188281,2023-09,76993.183153,2023-10,77953.9202,2023-11,81323.845136,2023-12,71769.232595
12,M,MY,TXG_FOB_USD,W00,6,P1M,2021-01,22201.55521,2021-02,21645.458156,2021-03,25551.267181,2021-04,25602.42892,2021-05,22365.451819,2021-06,25511.721922,2021-07,23179.916912,2021-08,22636.162955,2021-09,26601.899797,2021-10,27484.085827,2021-11,26841.168117,2021-12,29416.587745,2022-01,26515.164269,2022-02,24420.455977,2022-03,31319.342024,2022-04,29903.014877,2022-05,27481.866458,2022-06,33176.775894,2022-07,30191.957202,2022-08,31633.564871,2022-09,31742.019962,2022-10,28026.412713,2022-11,28048.620509,2022-12,29878.728339,2023-01,26023.396134,2023-02,25649.493354,2023-03,29034.59484,2023-04,23784.802761,2023-05,26424.812245,2023-06,26750.777993,2023-07,25414.968449,2023-08,24962.775452,2023-09,26565.039236,2023-10,26567.213975,2023-11,26046.338482,2023-12,25424.8112
13,M,1C_092,TXG_FOB_USD,W00,6,P1M,2021-01,569538.236896,2021-02,514848.000927,2021-03,616778.002844,2021-04,620341.838046,2021-05,619157.900439,2021-06,656303.381767,2021-07,645982.820381,2021-08,658928.447926,2021-09,680595.614606,2021-10,681673.226713,2021-11,718391.639609,2021-12,747008.653756,2022-01,694909.541885,2022-02,597783.177256,2022-03,724354.645458,2022-04,693106.326366,2022-05,722066.939033,2022-06,775796.53631,2022-07,738222.2269,2022-08,738098.970954,2022-09,743182.871816,2022-10,696233.087597,2022-11,703959.851748,2022-12,708482.380088,2023-01,668946.579943,2023-02,588277.824119,2023-03,759484.551134,2023-04,670634.077503,2023-05,695419.607662,2023-06,688023.943346,2023-07,669686.586726,2023-08,686931.596439,2023-09,696308.06952,2023-10,680044.135416,2023-11,697336.369339,2023-12,689572.288143
