,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE
0,A,F97,TXG_FOB_USD,W00,6,P1Y,2021,905699.017566,2022,1291295.218429,2023,1097412.994084
1,A,IQ,TXG_FOB_USD,W00,6,P1Y,2021,82172.967384,2022,125729.333006,2023,106239.264633
2,A,RO,TXG_FOB_USD,W00,6,P1Y,2021,87375.213682,2022,96683.418152,2023,100606.524332
3,A,X88,TXG_FOB_USD,W00,6,P1Y,2021,2465.540334,2022,2731.846073,2023,2547.294938
4,A,FR,TXG_FOB_USD,W00,6,P1Y,2021,584703.018831,2022,620147.184298,2023,648132.361032
5,A,AN,TXG_FOB_USD,W00,6,P1Y,,,,,,
6,A,SE,TXG_FOB_USD,W00,6,P1Y,2021,189230.877546,2022,197467.636075,2023,197783.600189
7,A,CR,TXG_FOB_USD,W00,6,P1Y,2021,14747.546463,2022,15183.244716,2023,15194.401879
8,A,ZW,TXG_FOB_USD,W00,6,P1Y,2021,6036.187305,2022,6585.479341,2023,7225.142211
9,A,ME,TXG_FOB_USD,W00,6,P1Y,2021,509.218492,2022,742.312927,2023,693.134588
10,A,SN,TXG_FOB_USD,W00,6,P1Y,2021,5194.857138,2022,5878.03925,2023,4811.401708
11,A,BJ,TXG_FOB_USD,W00,6,P1Y,2021,1025.778424,2022,908.460982,2023,1053.294884
12,A,XS25,TXG_FOB_USD,W00,6,P1Y,2021,5100697.164148,2022,5633157.04756,2023,5283358.654664
13,A,1C_903,TXG_FOB_USD,W00,6,P1Y,2021,1486312.592384,2022,1636432.073136,2023,1485739.212903
14,A,CI,TXG_FOB_USD,W00,6,P1Y,2021,29268.510469,2022,34734.783094,2023,39917.432976
15,A,MO,TXG_FOB_USD,W00,6,P1Y,2021,1251.956007,2022,1232.378609,2023,1084.915292
16,A,MZ,TXG_FOB_USD,W00,6,P1Y,2021,5790.384164,2022,8416.789685,2023,9338.450261
17,A,AO,TXG_FOB_USD,W00,6,P1Y,2021,35116.2249,2022,51443.395614,2023,40459.77885
18,A,LA,TXG_FOB_USD,W00,6,P1Y,2021,7902.413299,2022,9573.673241,2023,9619.169478
19,A,CL,TXG_FOB_USD,W00,6,P1Y,2021,93878.024713,2022,97489.095973,2023,94924.028482
20,A,MV,TXG_FOB_USD,W00,6,P1Y,2021,151.28117,2022,159.010757,2023,162.21688
21,A,AZ,TXG_FOB_USD,W00,6,P1Y,2021,22208.0043,2022,38146.4342,2023,33898.874
22,A,IS,TXG_FOB_USD,W00,6,P1Y,2021,6054.132505,2022,7402.719309,2023,6623.473306
23,A,BY,TXG_FOB_USD,W00,6,P1Y,2021,39986.9711,2022,34258.141421,2023,26520.976019
24,A,GA,TXG_FOB_USD,W00,6,P1Y,2021,8096.965859,2022,12133.257168,2023,9669.474795
25,A,CN,TXG_FOB_USD,W00,6,P1Y,2021,3368216.972663,2022,3604481.49075,2023,3422170.833729
26,A,MD,TXG_FOB_USD,W00,6,P1Y,2021,3142.979849,2022,4332.145453,2023,4048.616803
27,A,NP,TXG_FOB_USD,W00,6,P1Y,2021,1836.026098,2022,1477.607216,2023,1342.357333
28,A,PG,TXG_FOB_USD,W00,6,P1Y,2021,9722.779966,2022,12807.751484,2023,11043.101653
29,A,NG,TXG_FOB_USD,W00,6,P1Y,2021,55606.228908,2022,64128.830118,2023,53262.400552
30,A,AL,TXG_FOB_USD,W00,6,P1Y,2021,3681.100753,2022,4310.142456,2023,4417.503652
31,A,MK,TXG_FOB_USD,W00,6,P1Y,2021,8244.915917,2022,8729.356237,2023,8979.867475
32,A,MR,TXG_FOB_USD,W00,6,P1Y,2021,3293.548306,2022,3807.069242,2023,3241.864813
33,A,R1,TXG_FOB_USD,W00,6,P1Y,,,,,,
34,A,BA,TXG_FOB_USD,W00,6,P1Y,2021,8614.079101,2022,9678.192327,2023,9228.174008
35,A,GM,TXG_FOB_USD,W00,6,P1Y,2021,28.623861,2022,46.410768,2023,56.0012
36,A,BO,TXG_FOB_USD,W00,6,P1Y,2021,10985.584941,2022,13603.746248,2023,10978.700286
37,A,BI,TXG_FOB_USD,W00,6,P1Y,2021,149.559997,2022,190.85151,2023,167.971204
