,1,2,3,4,5,6,7
0,"Aug 31, 2023","19,375.55","19,388.20","19,223.65","19,253.80","19,253.80","562,600"
1,"Aug 30, 2023","19,433.45","19,452.80","19,334.75","19,347.45","19,347.45","233,000"
2,"Aug 29, 2023","19,374.85","19,377.90","19,309.10","19,342.65","19,342.65","307,400"
3,"Aug 28, 2023","19,298.35","19,366.85","19,249.70","19,306.05","19,306.05","248,200"
4,"Aug 25, 2023","19,297.40","19,339.55","19,229.70","19,265.80","19,265.80","466,500"
5,"Aug 24, 2023","19,535.15","19,584.45","19,369.00","19,386.70","19,386.70","268,300"
6,"Aug 23, 2023","19,439.20","19,472.05","19,366.60","19,444.00","19,444.00","225,200"
7,"Aug 22, 2023","19,417.10","19,443.50","19,381.30","19,396.45","19,396.45","208,700"
8,"Aug 21, 2023","19,320.65","19,425.95","19,296.30","19,393.60","19,393.60","262,600"
9,"Aug 18, 2023","19,301.75","19,373.80","19,253.60","19,310.15","19,310.15","256,100"
10,"Aug 17, 2023","19,450.55","19,461.55","19,326.25","19,365.25","19,365.25","268,700"
11,"Aug 16, 2023","19,369.00","19,482.75","19,317.20","19,465.00","19,465.00",-
12,"Aug 14, 2023","19,383.95","19,465.85","19,257.90","19,434.55","19,434.55","243,900"
13,"Aug 11, 2023","19,554.25","19,557.75","19,412.75","19,428.30","19,428.30","235,500"
14,"Aug 10, 2023","19,605.55","19,623.60","19,495.40","19,543.10","19,543.10","312,200"
15,"Aug 09, 2023","19,578.80","19,645.50","19,467.50","19,632.55","19,632.55","266,500"
16,"Aug 08, 2023","19,627.20","19,634.40","19,533.10","19,570.85","19,570.85","260,300"
17,"Aug 07, 2023","19,576.85","19,620.45","19,524.80","19,597.30","19,597.30","216,600"
18,"Aug 04, 2023","19,462.80","19,538.85","19,436.45","19,517.00","19,517.00","280,800"
19,"Aug 03, 2023","19,463.75","19,537.65","19,296.45","19,381.65","19,381.65","315,700"
20,"Aug 02, 2023","19,655.40","19,678.25","19,423.55","19,526.55","19,526.55","290,700"
21,"Aug 01, 2023","19,784.00","19,795.60","19,704.60","19,733.55","19,733.55","298,000"
22,"Jul 31, 2023","19,666.35","19,772.75","19,597.60","19,753.80","19,753.80","295,100"
23,"Jul 28, 2023","19,659.75","19,695.90","19,563.10","19,646.05","19,646.05","258,700"
24,"Jul 27, 2023","19,850.90","19,867.55","19,603.55","19,659.90","19,659.90","334,900"
25,"Jul 26, 2023","19,733.35","19,825.60","19,716.70","19,778.30","19,778.30","244,700"
26,"Jul 25, 2023","19,729.35","19,729.35","19,615.95","19,680.60","19,680.60","369,700"
27,"Jul 24, 2023","19,748.45","19,782.75","19,658.30","19,672.35","19,672.35","265,600"
28,"Jul 21, 2023","19,800.45","19,887.40","19,700.00","19,745.00","19,745.00","312,500"
29,"Jul 20, 2023","19,831.70","19,991.85","19,758.40","19,979.15","19,979.15","274,700"
30,"Jul 19, 2023","19,802.95","19,851.70","19,727.45","19,833.15","19,833.15","259,700"
31,"Jul 18, 2023","19,787.50","19,819.45","19,690.20","19,749.25","19,749.25","286,400"
32,"Jul 17, 2023","19,612.15","19,731.85","19,562.95","19,711.45","19,711.45","268,700"
33,"Jul 14, 2023","19,493.45","19,595.35","19,433.50","19,564.50","19,564.50","291,200"
34,"Jul 13, 2023","19,495.20","19,567.00","19,385.80","19,413.75","19,413.75","310,400"
35,"Jul 12, 2023","19,497.45","19,507.70","19,361.75","19,384.30","19,384.30","327,900"
36,"Jul 11, 2023","19,427.10","19,515.10","19,406.45","19,439.40","19,439.40","251,300"
37,"Jul 10, 2023","19,400.35","19,435.85","19,327.10","19,355.90","19,355.90","268,200"
38,"Jul 07, 2023","19,422.80","19,523.60","19,303.60","19,331.80","19,331.80","237,100"
39,"Jul 06, 2023","19,385.70","19,512.20","19,373.00","19,497.30","19,497.30","268,300"
40,"Jul 05, 2023","19,405.95","19,421.60","19,339.60","19,398.50","19,398.50","224,400"
41,"Jul 04, 2023","19,406.60","19,434.15","19,300.00","19,389.00","19,389.00","226,900"
42,"Jul 03, 2023","19,246.50","19,345.10","19,234.40","19,322.55","19,322.55","226,100"
43,"Jun 30, 2023","19,076.85","19,201.70","19,024.60","19,189.05","19,189.05","247,900"
44,"Jun 28, 2023","18,908.15","19,011.25","18,861.35","18,972.10","18,972.10","398,800"
45,"Jun 27, 2023","18,748.55","18,829.25","18,714.25","18,817.40","18,817.40","222,500"
46,"Jun 26, 2023","18,682.35","18,722.05","18,646.70","18,691.20","18,691.20","171,300"
47,"Jun 23, 2023","18,741.85","18,756.40","18,647.10","18,665.50","18,665.50","210,600"
48,"Jun 22, 2023","18,853.60","18,886.60","18,759.50","18,771.25","18,771.25","252,700"
49,"Jun 21, 2023","18,849.40","18,875.90","18,794.85","18,856.85","18,856.85","217,500"
50,"Jun 20, 2023","18,752.35","18,839.70","18,660.65","18,816.70","18,816.70","211,600"
51,"Jun 19, 2023","18,873.30","18,881.45","18,719.15","18,755.45","18,755.45","219,800"
52,"Jun 16, 2023","18,723.30","18,864.70","18,710.50","18,826.00","18,826.00","272,800"
53,"Jun 15, 2023","18,774.45","18,794.10","18,669.05","18,688.10","18,688.10","263,000"
54,"Jun 14, 2023","18,744.60","18,769.70","18,690.00","18,755.90","18,755.90","261,400"
55,"Jun 13, 2023","18,631.80","18,728.90","18,631.80","18,716.15","18,716.15","233,200"
56,"Jun 12, 2023","18,595.05","18,633.60","18,559.75","18,601.50","18,601.50","179,500"
57,"Jun 09, 2023","18,655.90","18,676.65","18,555.40","18,563.40","18,563.40","221,800"
58,"Jun 08, 2023","18,725.35","18,777.90","18,615.60","18,634.55","18,634.55","286,500"
