,1,2,3,4,5,6,7
0,"Aug 31, 2023","6,966.66","6,982.35","6,924.23","6,953.26","6,953.26","233,127,700"
1,"Aug 30, 2023","6,958.26","7,008.49","6,958.26","6,966.66","6,966.66","159,326,300"
2,"Aug 29, 2023","6,921.73","6,964.73","6,921.73","6,957.83","6,957.83","244,345,800"
3,"Aug 28, 2023","6,895.87","6,940.12","6,895.87","6,921.73","6,921.73","185,488,900"
4,"Aug 25, 2023","6,899.39","6,906.08","6,869.63","6,895.44","6,895.44","129,994,800"
5,"Aug 24, 2023","6,921.41","6,937.65","6,898.39","6,899.39","6,899.39","142,846,200"
6,"Aug 23, 2023","6,916.45","6,959.43","6,916.45","6,921.41","6,921.41","170,674,700"
7,"Aug 22, 2023","6,866.03","6,927.45","6,860.69","6,916.45","6,916.45","158,573,900"
8,"Aug 21, 2023","6,860.05","6,890.28","6,859.42","6,866.03","6,866.03","207,708,300"
9,"Aug 18, 2023","6,899.83","6,899.83","6,856.38","6,859.91","6,859.91","130,737,900"
10,"Aug 16, 2023","6,915.10","6,915.10","6,855.89","6,900.54","6,900.54","152,291,200"
11,"Aug 15, 2023","6,910.46","6,928.63","6,898.38","6,915.10","6,915.10","172,760,000"
12,"Aug 14, 2023","6,879.98","6,910.17","6,823.75","6,910.17","6,910.17","138,804,900"
13,"Aug 11, 2023","6,893.28","6,906.65","6,865.11","6,879.98","6,879.98","130,736,700"
14,"Aug 10, 2023","6,875.11","6,910.75","6,875.11","6,893.28","6,893.28","162,734,000"
15,"Aug 09, 2023","6,868.81","6,901.06","6,863.08","6,875.11","6,875.11","218,491,200"
16,"Aug 08, 2023","6,886.51","6,915.05","6,861.63","6,868.81","6,868.81","170,357,400"
17,"Aug 07, 2023","6,852.84","6,904.36","6,852.84","6,886.37","6,886.37","134,540,800"
18,"Aug 04, 2023","6,898.22","6,925.01","6,850.90","6,852.84","6,852.84","118,791,000"
19,"Aug 03, 2023","6,854.51","6,924.05","6,839.74","6,898.08","6,898.08","163,613,400"
20,"Aug 02, 2023","6,886.50","6,886.50","6,833.98","6,854.51","6,854.51","183,858,400"
21,"Aug 01, 2023","6,931.08","6,934.39","6,880.47","6,886.50","6,886.50","196,062,700"
22,"Jul 31, 2023","6,900.23","6,931.36","6,895.07","6,931.36","6,931.36","171,457,600"
23,"Jul 28, 2023","6,896.81","6,904.10","6,857.37","6,900.23","6,900.23","146,686,100"
24,"Jul 27, 2023","6,948.28","6,966.17","6,896.66","6,896.66","6,896.66","158,624,100"
25,"Jul 26, 2023","6,917.71","6,955.98","6,917.41","6,948.28","6,948.28","149,683,800"
26,"Jul 25, 2023","6,897.98","6,944.62","6,897.98","6,917.71","6,917.71","150,504,400"
27,"Jul 24, 2023","6,880.80","6,929.68","6,877.95","6,899.40","6,899.40","150,084,400"
28,"Jul 21, 2023","6,864.19","6,880.80","6,837.65","6,880.80","6,880.80","131,640,100"
29,"Jul 20, 2023","6,830.06","6,874.89","6,828.00","6,864.19","6,864.19","142,032,500"
30,"Jul 18, 2023","6,867.14","6,902.14","6,798.43","6,830.20","6,830.20","150,363,000"
31,"Jul 17, 2023","6,869.71","6,931.27","6,867.14","6,867.14","6,867.14","176,805,700"
32,"Jul 14, 2023","6,810.21","6,874.78","6,810.21","6,869.57","6,869.57","160,702,800"
33,"Jul 13, 2023","6,808.35","6,835.74","6,783.74","6,810.21","6,810.21","171,443,900"
34,"Jul 12, 2023","6,796.92","6,820.18","6,785.86","6,808.21","6,808.21","161,722,800"
35,"Jul 11, 2023","6,731.18","6,796.92","6,730.63","6,796.92","6,796.92","160,428,000"
36,"Jul 10, 2023","6,716.46","6,763.55","6,716.46","6,731.04","6,731.04","123,617,000"
37,"Jul 07, 2023","6,757.05","6,757.05","6,711.22","6,716.46","6,716.46","158,332,900"
38,"Jul 06, 2023","6,718.26","6,766.27","6,712.07","6,757.33","6,757.33","179,543,000"
39,"Jul 05, 2023","6,681.75","6,719.06","6,676.93","6,718.98","6,718.98","148,911,000"
40,"Jul 04, 2023","6,696.86","6,713.99","6,672.77","6,681.75","6,681.75","146,273,000"
41,"Jul 03, 2023","6,661.74","6,696.72","6,660.82","6,696.72","6,696.72","125,551,000"
42,"Jun 27, 2023","6,664.67","6,679.63","6,652.90","6,661.88","6,661.88","142,328,900"
43,"Jun 26, 2023","6,639.73","6,674.06","6,622.18","6,664.67","6,664.67","126,037,100"
44,"Jun 23, 2023","6,652.26","6,665.66","6,635.48","6,639.73","6,639.73","113,447,100"
45,"Jun 22, 2023","6,702.77","6,717.98","6,652.26","6,652.26","6,652.26","168,533,600"
46,"Jun 21, 2023","6,660.46","6,702.63","6,635.67","6,702.63","6,702.63","120,273,100"
47,"Jun 20, 2023","6,686.06","6,692.44","6,626.15","6,660.46","6,660.46","118,276,600"
48,"Jun 19, 2023","6,698.55","6,705.04","6,669.05","6,686.06","6,686.06","161,424,500"
49,"Jun 16, 2023","6,713.52","6,726.46","6,669.34","6,698.55","6,698.55","172,061,800"
50,"Jun 15, 2023","6,699.72","6,717.46","6,660.91","6,713.79","6,713.79","151,187,300"
51,"Jun 14, 2023","6,718.87","6,744.64","6,672.86","6,699.72","6,699.72","178,279,800"
52,"Jun 13, 2023","6,722.37","6,744.04","6,697.07","6,719.01","6,719.01","176,568,000"
53,"Jun 12, 2023","6,694.58","6,722.37","6,670.52","6,722.37","6,722.37","158,712,000"
54,"Jun 09, 2023","6,666.05","6,703.82","6,648.96","6,694.02","6,694.02","182,769,600"
55,"Jun 08, 2023","6,619.75","6,666.33","6,598.42","6,666.33","6,666.33","168,616,600"
56,"Jun 07, 2023","6,619.06","6,638.58","6,578.76","6,619.75","6,619.75","162,881,000"
57,"Jun 06, 2023","6,633.44","6,677.57","6,602.00","6,618.92","6,618.92","231,838,500"
58,"Jun 05, 2023","6,633.26","6,663.71","6,598.51","6,633.44","6,633.44","152,714,500"
59,"May 31, 2023","6,636.42","6,657.65","6,562.96","6,633.26","6,633.26","615,071,900"
60,"May 30, 2023","6,681.10","6,700.24","6,636.42","6,636.42","6,636.42","173,775,000"
61,"May 29, 2023","6,687.28","6,708.37","6,617.24","6,681.10","6,681.10","164,801,800"
62,"May 26, 2023","6,704.23","6,727.29","6,669.24","6,687.00","6,687.00","181,504,900"
63,"May 25, 2023","6,745.80","6,749.71","6,702.53","6,704.23","6,704.23","156,986,800"
64,"May 24, 2023","6,736.68","6,755.88","6,713.89","6,745.80","6,745.80","137,679,300"
65,"May 23, 2023","6,729.65","6,772.65","6,727.07","6,736.68","6,736.68","162,216,500"
66,"May 22, 2023","6,700.56","6,757.62","6,675.88","6,729.65","6,729.65","167,491,100"
67,"May 19, 2023","6,663.11","6,715.03","6,662.75","6,700.56","6,700.56","161,565,100"
68,"May 17, 2023","6,676.42","6,706.60","6,661.47","6,663.11","6,663.11","180,449,300"
69,"May 16, 2023","6,711.74","6,729.07","6,659.07","6,676.56","6,676.56","156,372,400"
70,"May 15, 2023","6,708.46","6,729.30","6,656.65","6,711.74","6,711.74","142,578,400"
71,"May 12, 2023","6,755.94","6,755.94","6,704.57","6,707.76","6,707.76","173,779,500"
72,"May 11, 2023","6,811.90","6,814.12","6,717.42","6,755.94","6,755.94","162,906,200"
73,"May 10, 2023","6,780.40","6,820.12","6,775.19","6,811.90","6,811.90","181,480,200"
74,"May 09, 2023","6,769.63","6,793.77","6,742.18","6,779.98","6,779.98","172,097,200"
75,"May 08, 2023","6,787.49","6,798.32","6,756.66","6,769.63","6,769.63","179,625,500"
76,"May 05, 2023","6,844.03","6,851.59","6,733.78","6,787.63","6,787.63","148,189,400"
77,"May 04, 2023","6,812.72","6,846.12","6,780.09","6,844.03","6,844.03","137,517,900"
78,"May 03, 2023","6,863.30","6,865.61","6,776.90","6,812.72","6,812.72","121,306,900"
79,"May 02, 2023","6,915.72","6,920.34","6,814.34","6,863.30","6,863.30","136,480,100"
80,"Apr 28, 2023","6,945.48","6,958.67","6,897.71","6,915.72","6,915.72","130,620,700"
81,"Apr 27, 2023","6,910.85","6,971.91","6,877.65","6,945.48","6,945.48","161,595,900"
82,"Apr 26, 2023","6,821.81","6,910.15","6,821.60","6,910.15","6,910.15","120,164,300"
83,"Apr 18, 2023","6,787.58","6,839.76","6,784.17","6,821.81","6,821.81","103,660,800"
84,"Apr 17, 2023","6,818.71","6,829.51","6,765.14","6,787.58","6,787.58","94,860,100"
85,"Apr 14, 2023","6,785.88","6,838.07","6,785.70","6,818.57","6,818.57","137,035,000"
86,"Apr 13, 2023","6,798.54","6,816.88","6,764.66","6,785.60","6,785.60","161,495,800"
87,"Apr 12, 2023","6,811.46","6,833.74","6,775.28","6,798.96","6,798.96","151,427,200"
88,"Apr 11, 2023","6,771.23","6,811.31","6,738.77","6,811.31","6,811.31","161,404,500"
89,"Apr 10, 2023","6,792.77","6,799.49","6,735.19","6,771.23","6,771.23","129,368,500"
90,"Apr 06, 2023","6,819.67","6,832.73","6,786.29","6,792.77","6,792.77","172,852,900"
91,"Apr 05, 2023","6,833.18","6,867.34","6,816.43","6,819.67","6,819.67","123,965,500"
92,"Apr 04, 2023","6,827.03","6,859.69","6,781.52","6,833.18","6,833.18","131,576,400"
93,"Apr 03, 2023","6,805.28","6,849.36","6,805.13","6,827.17","6,827.17","127,453,100"
94,"Mar 31, 2023","6,809.09","6,831.55","6,789.61","6,805.28","6,805.28","139,015,200"
95,"Mar 30, 2023","6,839.44","6,868.63","6,803.09","6,808.95","6,808.95","140,466,800"
96,"Mar 29, 2023","6,760.33","6,851.51","6,760.33","6,839.44","6,839.44","143,324,900"
97,"Mar 28, 2023","6,708.93","6,764.65","6,708.93","6,760.33","6,760.33","126,113,300"
98,"Mar 27, 2023","6,762.25","6,772.60","6,704.75","6,708.93","6,708.93","135,182,600"
99,"Mar 24, 2023","6,694.02","6,776.90","6,692.17","6,762.25","6,762.25","146,575,100"
100,"Mar 21, 2023","6,612.49","6,691.61","6,609.22","6,691.61","6,691.61","145,475,100"
101,"Mar 20, 2023","6,678.24","6,678.24","6,587.69","6,612.49","6,612.49","128,905,000"
102,"Mar 17, 2023","6,565.73","6,683.09","6,565.73","6,678.24","6,678.24","455,755,600"
103,"Mar 16, 2023","6,628.14","6,630.77","6,542.79","6,565.73","6,565.73","154,420,700"
104,"Mar 15, 2023","6,641.81","6,709.86","6,628.14","6,628.14","6,628.14","139,210,500"
105,"Mar 14, 2023","6,786.67","6,786.67","6,635.38","6,641.81","6,641.81","166,605,500"
106,"Mar 13, 2023","6,765.02","6,812.87","6,727.44","6,786.96","6,786.96","141,798,000"
107,"Mar 10, 2023","6,799.79","6,799.79","6,741.41","6,765.30","6,765.30","131,746,200"
108,"Mar 09, 2023","6,776.37","6,824.66","6,776.37","6,799.79","6,799.79","113,187,000"
109,"Mar 08, 2023","6,766.76","6,776.37","6,728.19","6,776.37","6,776.37","144,130,900"
110,"Mar 07, 2023","6,806.86","6,812.96","6,758.00","6,766.76","6,766.76","140,398,600"
111,"Mar 06, 2023","6,813.92","6,856.57","6,801.19","6,807.00","6,807.00","137,055,800"
112,"Mar 03, 2023","6,857.42","6,884.12","6,804.48","6,813.64","6,813.64","118,736,600"
113,"Mar 02, 2023","6,845.08","6,875.10","6,841.86","6,857.42","6,857.42","136,086,000"
114,"Mar 01, 2023","6,843.10","6,889.51","6,833.19","6,844.94","6,844.94","146,293,200"
115,"Feb 28, 2023","6,854.78","6,890.35","6,843.24","6,843.24","6,843.24","167,931,100"
116,"Feb 27, 2023","6,856.58","6,871.11","6,819.87","6,854.78","6,854.78","127,631,500"
117,"Feb 24, 2023","6,839.45","6,880.31","6,839.45","6,856.58","6,856.58","130,300,200"
118,"Feb 23, 2023","6,810.11","6,839.45","6,807.00","6,839.45","6,839.45","124,488,600"
119,"Feb 22, 2023","6,873.26","6,875.39","6,781.23","6,809.97","6,809.97","149,215,500"
120,"Feb 21, 2023","6,894.72","6,923.67","6,870.91","6,873.40","6,873.40","144,215,700"
121,"Feb 20, 2023","6,895.86","6,910.50","6,863.67","6,894.72","6,894.72","175,859,700"
122,"Feb 17, 2023","6,895.66","6,919.09","6,868.28","6,895.71","6,895.71","180,098,400"
123,"Feb 16, 2023","6,914.54","6,933.28","6,875.30","6,895.66","6,895.66","173,648,600"
124,"Feb 15, 2023","6,941.85","6,946.03","6,872.87","6,914.54","6,914.54","148,477,900"
125,"Feb 14, 2023","6,900.14","6,941.85","6,900.14","6,941.85","6,941.85","162,808,100"
126,"Feb 13, 2023","6,880.33","6,915.14","6,871.88","6,900.14","6,900.14","213,914,100"
127,"Feb 10, 2023","6,895.24","6,895.24","6,803.42","6,880.33","6,880.33","140,803,700"
128,"Feb 09, 2023","6,940.12","6,961.15","6,896.04","6,897.37","6,897.37","176,681,300"
129,"Feb 08, 2023","6,935.30","6,961.92","6,912.11","6,940.12","6,940.12","172,668,200"
130,"Feb 07, 2023","6,873.79","6,946.23","6,873.79","6,935.30","6,935.30","173,101,600"
131,"Feb 06, 2023","6,911.73","6,924.88","6,835.76","6,873.79","6,873.79","143,480,000"
132,"Feb 03, 2023","6,890.71","6,951.97","6,890.71","6,911.73","6,911.73","202,858,400"
133,"Feb 02, 2023","6,862.26","6,896.73","6,855.37","6,890.57","6,890.57","189,189,500"
