,Date,Close,Low,High
0,2023-11-21,"2,020,153.9","2,018,010","2,020,150"
1,2023-11-20,"2,018,008","2,017,910","2,026,250"
2,2023-11-19,"2,026,241.6","2,026,230","2,031,130"
3,2023-11-18,"2,028,579.8","2,028,560","2,038,810"
4,2023-11-15,"2,038,883.4","2,038,870","2,045,780"
5,2023-11-14,"2,046,067","2,046,060","2,055,840"
6,2023-11-13,"2,055,960.3","2,054,060","2,058,330"
7,2023-11-12,"2,053,632.8","2,052,560","2,054,640"
8,2023-11-11,"2,054,482.9","2,054,300","2,058,760"
9,2023-11-08,"2,055,944.8","2,053,920","2,056,040"
10,2023-11-07,"2,052,696","2,031,820","2,052,690"
11,2023-11-06,"2,030,871.7","2,017,290","2,030,870"
12,2023-11-05,"2,016,734.8","2,000,250","2,016,740"
13,2023-11-04,"1,999,209.4","1,975,900","1,999,200"
14,2023-11-01,"1,970,519.8","1,967,730","1,979,780"
15,2023-10-31,"1,981,204.7","1,981,200","1,985,250"
16,2023-10-30,"1,981,414.2","1,962,240","1,981,570"
17,2023-10-29,"1,961,310.8","1,950,310","1,961,310"
18,2023-10-28,"1,951,216.6","1,951,210","1,994,970"
19,2023-10-25,"2,002,075.1","1,999,700","2,002,110"
20,2023-10-24,"2,000,340.4","2,000,170","2,021,880"
21,2023-10-23,"2,021,903.6","2,021,890","2,030,880"
22,2023-10-22,"2,032,212.1","2,026,710","2,033,260"
23,2023-10-21,"2,024,972.8","2,023,540","2,026,450"
24,2023-10-18,"2,023,543.8","2,023,520","2,029,680"
25,2023-10-17,"2,031,245.3","2,022,150","2,031,240"
26,2023-10-16,"2,018,150.4","2,002,450","2,018,190"
27,2023-10-15,"2,001,942.6","2,001,250","2,002,900"
28,2023-10-14,"2,001,464.2","2,001,420","2,019,410"
29,2023-10-11,"2,019,712.8","2,014,870","2,020,460"
30,2023-10-10,"2,014,066.9","2,006,230","2,014,060"
31,2023-10-09,"2,005,595.1","2,000,420","2,010,190"
32,2023-10-08,"2,001,266.7","2,001,250","2,049,920"
33,2023-10-07,"2,052,879.3","2,052,860","2,069,700"
34,2023-10-04,"2,069,749.2","2,068,050","2,070,900"
35,2023-10-02,"2,067,537.6","2,066,690","2,067,830"
36,2023-10-01,"2,067,164.4","2,067,150","2,084,260"
37,2023-09-30,"2,084,534.8","2,084,530","2,098,960"
38,2023-09-27,"2,097,976.9","2,097,740","2,099,450"
39,2023-09-26,"2,097,727","2,097,710","2,101,150"
40,2023-09-25,"2,101,035.3","2,101,010","2,118,330"
41,2023-09-23,"2,118,346.6","2,118,340","2,122,080"
42,2023-09-20,"2,121,213","2,121,130","2,128,330"
43,2023-09-19,"2,128,489.3","2,128,450","2,133,480"
44,2023-09-18,"2,133,490.5","2,133,470","2,136,690"
45,2023-09-17,"2,135,780.4","2,127,350","2,135,990"
46,2023-09-13,"2,126,741.7","2,126,690","2,130,510"
47,2023-09-12,"2,127,079.5","2,122,890","2,129,360"
48,2023-09-11,"2,122,617.1","2,122,590","2,124,250"
49,2023-09-10,"2,123,629","2,123,030","2,127,810"
50,2023-09-09,"2,129,608.6","2,129,600","2,150,500"
51,2023-09-05,"2,150,975.3","2,140,040","2,155,370"
52,2023-09-04,"2,136,144.2","2,111,980","2,136,150"
53,2023-09-03,"2,111,648.6","2,104,760","2,112,110"
54,2023-09-02,"2,105,644.4","2,103,530","2,110,130"
55,2023-08-30,"2,104,683.8","2,097,120","2,105,030"
56,2023-08-29,"2,095,048.9","2,088,670","2,101,020"
57,2023-08-28,"2,084,168.4","2,055,150","2,084,840"
58,2023-08-27,"2,051,471.9","1,996,610","2,051,480"
59,2023-08-26,"1,993,097.2","1,950,320","1,993,110"
60,2023-08-23,"1,946,593.9","1,937,950","1,946,630"
61,2023-08-22,"1,938,253.4","1,938,220","1,956,200"
62,2023-08-21,"1,956,441.4","1,954,410","1,958,680"
63,2023-08-20,"1,954,029.7","1,953,450","1,957,480"
64,2023-08-19,"1,957,509.9","1,957,500","1,973,790"
65,2023-08-16,"1,973,597.3","1,973,590","1,978,940"
66,2023-08-15,"1,978,182.8","1,978,160","1,996,570"
67,2023-08-14,"1,997,030.3","1,989,640","1,999,680"
68,2023-08-13,"1,987,917.9","1,983,570","1,988,110"
69,2023-08-12,"1,989,639.8","1,989,630","2,034,620"
70,2023-08-09,"2,036,985.5","2,036,330","2,042,440"
71,2023-08-08,"2,037,869.3","2,037,860","2,050,420"
72,2023-08-07,"2,051,072.7","2,042,310","2,052,420"
73,2023-08-06,"2,040,011.7","2,032,920","2,040,040"
