,Month,Day,Year,Open,High,Low,Close,Adj_Close,Volume
0,Aug,"30,",2023,"1,866.11","1,874.24","1,861.92","1,866.83","1,866.83","36,228,800"
1,Aug,"29,",2023,"1,862.32","1,871.50","1,852.69","1,860.37","1,860.37","49,159,500"
2,Aug,"28,",2023,"1,873.40","1,880.99","1,870.88","1,876.05","1,876.05","52,655,900"
3,Aug,"27,",2023,"1,870.04","1,872.58","1,859.76","1,871.12","1,871.12","23,543,600"
4,Aug,"24,",2023,"1,886.20","1,889.43","1,869.14","1,871.96","1,871.96","71,046,100"
5,Aug,"23,",2023,"1,875.48","1,885.04","1,865.07","1,876.28","1,876.28","48,930,300"
6,Aug,"22,",2023,"1,867.90","1,875.40","1,861.94","1,871.46","1,871.46","52,765,600"
7,Aug,"21,",2023,"1,853.63","1,865.99","1,853.63","1,861.74","1,861.74","45,582,300"
8,Aug,"20,",2023,"1,855.50","1,859.74","1,850.22","1,854.39","1,854.39","15,951,600"
9,Aug,"17,",2023,"1,859.23","1,864.28","1,844.29","1,849.73","1,849.73","55,564,700"
10,Aug,"16,",2023,"1,872.23","1,879.06","1,858.93","1,862.34","1,862.34","38,272,300"
11,Aug,"15,",2023,"1,881.95","1,882.55","1,857.00","1,867.45","1,867.45","57,457,200"
12,Aug,"14,",2023,"1,891.20","1,899.83","1,871.72","1,873.45","1,873.45","57,170,100"
13,Aug,"13,",2023,"1,910.55","1,910.67","1,883.60","1,887.34","1,887.34","18,759,200"
14,Aug,"10,",2023,"1,904.54","1,917.84","1,904.54","1,914.59","1,914.59","48,197,000"
15,Aug,"09,",2023,"1,889.82","1,913.90","1,882.08","1,910.72","1,910.72","65,385,300"
16,Aug,"08,",2023,"1,883.70","1,898.42","1,878.23","1,881.80","1,881.80","47,254,800"
17,Aug,"07,",2023,"1,883.41","1,898.28","1,883.41","1,891.86","1,891.86","49,049,500"
18,Aug,"06,",2023,-,-,-,-,-,-
19,Aug,"03,",2023,"1,874.87","1,877.92","1,862.33","1,867.93","1,867.93","143,873,400"
20,Aug,"02,",2023,"1,867.36","1,880.00","1,855.99","1,877.23","1,877.23","62,048,800"
21,Aug,"01,",2023,"1,893.40","1,896.13","1,879.10","1,883.33","1,883.33","52,414,200"
22,Jul,"31,",2023,"1,883.78","1,890.28","1,876.61","1,886.63","1,886.63","56,097,700"
23,Jul,"30,",2023,-,-,-,-,-,-
24,Jul,"26,",2023,"1,854.54","1,861.85","1,830.95","1,861.23","1,861.23","105,588,500"
25,Jul,"25,",2023,"1,870.50","1,871.07","1,807.90","1,818.78","1,818.78","97,751,200"
26,Jul,"24,",2023,"1,916.94","1,935.10","1,867.39","1,875.22","1,875.22","76,386,800"
27,Jul,"23,",2023,"1,891.31","1,940.70","1,882.07","1,919.69","1,919.69","45,117,600"
28,Jul,"20,",2023,"1,926.83","1,926.83","1,901.35","1,903.57","1,903.57","66,009,600"
29,Jul,"19,",2023,"1,877.36","1,921.36","1,875.60","1,919.63","1,919.63","99,216,300"
30,Jul,"18,",2023,"1,841.36","1,875.63","1,840.20","1,870.11","1,870.11","50,802,300"
31,Jul,"17,",2023,"1,825.56","1,842.17","1,822.82","1,836.45","1,836.45","57,523,800"
32,Jul,"16,",2023,"1,839.60","1,844.43","1,825.40","1,827.23","1,827.23","19,136,400"
33,Jul,"13,",2023,"1,840.36","1,844.68","1,829.11","1,836.74","1,836.74","65,106,200"
34,Jul,"12,",2023,"1,803.87","1,833.69","1,803.28","1,832.37","1,832.37","56,797,000"
35,Jul,"11,",2023,"1,772.88","1,801.37","1,772.88","1,799.42","1,799.42","49,497,000"
36,Jul,"10,",2023,"1,763.23","1,783.32","1,760.74","1,783.29","1,783.29","41,260,400"
37,Jul,"09,",2023,"1,791.96","1,792.87","1,766.92","1,767.39","1,767.39","20,062,300"
38,Jul,"06,",2023,"1,801.13","1,809.09","1,791.44","1,791.71","1,791.71","101,229,800"
39,Jul,"05,",2023,"1,796.63","1,811.64","1,793.46","1,808.21","1,808.21","50,743,500"
40,Jul,"04,",2023,"1,790.63","1,797.88","1,788.35","1,796.68","1,796.68","33,826,200"
41,Jul,"03,",2023,"1,790.79","1,794.89","1,783.86","1,786.58","1,786.58","49,775,800"
42,Jul,"02,",2023,"1,781.47","1,795.16","1,780.57","1,792.92","1,792.92","29,936,300"
43,Jun,"29,",2023,"1,764.15","1,778.96","1,762.79","1,775.03","1,775.03","99,925,600"
44,Jun,"28,",2023,"1,773.07","1,780.07","1,762.92","1,771.88","1,771.88","55,631,300"
45,Jun,"27,",2023,"1,785.88","1,787.44","1,770.35","1,771.22","1,771.22","48,924,500"
46,Jun,"26,",2023,"1,778.91","1,790.23","1,777.86","1,788.80","1,788.80","48,147,600"
47,Jun,"25,",2023,"1,799.91","1,803.08","1,777.67","1,778.37","1,778.37","22,830,000"
48,Jun,"22,",2023,"1,801.02","1,812.10","1,796.69","1,806.92","1,806.92","47,480,300"
49,Jun,"21,",2023,"1,833.22","1,839.78","1,810.25","1,812.43","1,812.43","45,044,300"
50,Jun,"20,",2023,"1,831.31","1,842.21","1,824.42","1,833.81","1,833.81","41,314,700"
51,Jun,"19,",2023,"1,818.82","1,835.45","1,816.50","1,834.28","1,834.28","48,019,400"
52,Jun,"18,",2023,"1,849.71","1,857.53","1,825.59","1,828.29","1,828.29","36,998,500"
53,Jun,"15,",2023,"1,825.71","1,843.02","1,816.98","1,841.40","1,841.40","97,616,900"
54,Jun,"14,",2023,"1,837.86","1,848.69","1,808.51","1,822.82","1,822.82","68,594,900"
55,Jun,"13,",2023,"1,831.39","1,835.98","1,823.42","1,824.64","1,824.64","63,359,500"
56,Jun,"12,",2023,"1,805.00","1,820.06","1,801.32","1,815.15","1,815.15","66,533,600"
57,Jun,"11,",2023,-,-,-,-,-,-
58,Jun,"08,",2023,"1,789.00","1,807.85","1,784.22","1,796.98","1,796.98","61,299,400"
59,Jun,"07,",2023,"1,758.33","1,794.03","1,758.16","1,789.19","1,789.19","78,214,000"
60,Jun,"06,",2023,"1,766.89","1,776.49","1,750.34","1,756.68","1,756.68","72,689,500"
61,Jun,"05,",2023,"1,761.09","1,773.80","1,759.62","1,765.16","1,765.16","60,941,700"
62,Jun,"04,",2023,"1,742.32","1,764.49","1,740.78","1,762.24","1,762.24","30,039,900"
63,Jun,"01,",2023,"1,745.38","1,751.36","1,728.73","1,731.23","1,731.23","157,321,900"
64,May,"31,",2023,"1,758.62","1,759.39","1,742.39","1,749.17","1,749.17","267,151,800"
65,May,"30,",2023,"1,773.59","1,778.92","1,760.54","1,765.35","1,765.35","77,909,900"
66,May,"29,",2023,"1,779.52","1,781.22","1,758.10","1,772.58","1,772.58","64,808,500"
67,May,"28,",2023,"1,778.03","1,785.04","1,766.40","1,777.33","1,777.33",-
68,May,"24,",2023,"1,783.56","1,783.56","1,761.97","1,764.22","1,764.22","100,327,500"
69,May,"23,",2023,"1,804.58","1,809.12","1,778.80","1,782.57","1,782.57","62,981,400"
70,May,"22,",2023,"1,815.33","1,818.05","1,794.45","1,807.00","1,807.00","83,931,700"
71,May,"21,",2023,"1,820.36","1,822.94","1,809.14","1,812.53","1,812.53","46,119,000"
72,May,"18,",2023,"1,830.90","1,831.89","1,818.25","1,825.53","1,825.53","79,694,800"
73,May,"17,",2023,"1,806.25","1,825.63","1,797.54","1,820.11","1,820.11","75,717,600"
74,May,"16,",2023,"1,804.85","1,808.55","1,796.22","1,796.63","1,796.63","65,894,100"
