,Month,Day,Year,Open,High,Low,Close,Adj_Close,Volume
0,Aug,"31,",2023,"32,361.02","32,692.76","32,359.15","32,619.34","32,619.34","114,600,000"
1,Aug,"30,",2023,"32,432.95","32,557.45","32,300.56","32,333.46","32,333.46","89,100,000"
2,Aug,"29,",2023,"32,280.57","32,389.12","32,186.57","32,226.97","32,226.97","77,500,000"
3,Aug,"28,",2023,"31,915.68","32,205.48","31,881.93","32,169.99","32,169.99","69,900,000"
4,Aug,"25,",2023,"31,840.91","31,885.53","31,572.06","31,624.28","31,624.28","65,700,000"
5,Aug,"24,",2023,"32,130.52","32,297.91","32,063.14","32,287.21","32,287.21","73,400,000"
6,Aug,"23,",2023,"31,717.91","32,039.60","31,717.91","32,010.26","32,010.26","65,100,000"
7,Aug,"22,",2023,"31,792.60","31,906.10","31,693.76","31,856.71","31,856.71","70,200,000"
8,Aug,"21,",2023,"31,552.85","31,758.70","31,409.86","31,565.64","31,565.64","69,500,000"
9,Aug,"18,",2023,"31,321.26","31,644.89","31,275.25","31,450.76","31,450.76","74,800,000"
10,Aug,"17,",2023,"31,621.98","31,704.08","31,309.68","31,626.00","31,626.00","87,700,000"
11,Aug,"16,",2023,"31,965.58","31,997.28","31,766.82","31,766.82","31,766.82","84,800,000"
12,Aug,"15,",2023,"32,372.53","32,403.93","32,217.52","32,238.89","32,238.89","75,100,000"
13,Aug,"14,",2023,"32,456.72","32,613.99","32,031.54","32,059.91","32,059.91","95,600,000"
14,Aug,"10,",2023,"32,015.96","32,504.85","32,015.96","32,473.65","32,473.65","108,000,000"
15,Aug,"09,",2023,"32,346.32","32,407.85","32,175.64","32,204.33","32,204.33","104,500,000"
16,Aug,"08,",2023,"32,430.61","32,539.88","32,238.59","32,377.29","32,377.29","91,800,000"
17,Aug,"07,",2023,"31,921.28","32,306.87","31,830.23","32,254.56","32,254.56","94,100,000"
18,Aug,"04,",2023,"32,019.06","32,294.70","31,934.35","32,192.75","32,192.75","106,600,000"
19,Aug,"03,",2023,"32,375.85","32,467.06","32,142.25","32,159.28","32,159.28","120,300,000"
20,Aug,"02,",2023,"33,123.12","33,158.58","32,628.29","32,707.69","32,707.69","124,200,000"
21,Aug,"01,",2023,"33,292.31","33,488.77","33,203.88","33,476.58","33,476.58","110,800,000"
22,Jul,"31,",2023,"33,128.83","33,402.08","33,025.93","33,172.22","33,172.22","134,300,000"
23,Jul,"28,",2023,"32,444.42","32,846.97","32,037.55","32,759.23","32,759.23","170,500,000"
24,Jul,"27,",2023,"32,523.69","32,938.59","32,503.69","32,891.16","32,891.16","90,900,000"
25,Jul,"26,",2023,"32,704.96","32,724.25","32,488.52","32,668.34","32,668.34","85,200,000"
26,Jul,"25,",2023,"32,705.39","32,715.56","32,509.94","32,682.51","32,682.51","101,000,000"
27,Jul,"24,",2023,"32,648.14","32,793.77","32,554.46","32,700.94","32,700.94","83,500,000"
28,Jul,"21,",2023,"32,336.86","32,462.44","32,080.95","32,304.25","32,304.25","79,400,000"
29,Jul,"20,",2023,"32,803.35","32,861.02","32,462.86","32,490.52","32,490.52","75,600,000"
30,Jul,"19,",2023,"32,812.36","32,896.03","32,671.03","32,896.03","32,896.03","81,900,000"
31,Jul,"18,",2023,"32,457.18","32,714.59","32,338.30","32,493.89","32,493.89","81,100,000"
32,Jul,"14,",2023,"32,587.90","32,780.63","32,225.37","32,391.26","32,391.26","90,300,000"
33,Jul,"13,",2023,"32,106.05","32,484.40","31,952.98","32,419.33","32,419.33","77,800,000"
34,Jul,"12,",2023,"32,280.05","32,312.03","31,791.71","31,943.93","31,943.93","88,400,000"
35,Jul,"11,",2023,"32,434.67","32,468.70","32,084.42","32,203.57","32,203.57","87,200,000"
36,Jul,"10,",2023,"32,393.46","32,558.98","32,065.63","32,189.73","32,189.73","101,200,000"
37,Jul,"07,",2023,"32,450.64","32,730.25","32,327.90","32,388.42","32,388.42","105,100,000"
38,Jul,"06,",2023,"33,058.40","33,079.45","32,637.72","32,773.02","32,773.02","100,600,000"
39,Jul,"05,",2023,"33,165.06","33,389.22","33,041.14","33,338.70","33,338.70","95,100,000"
40,Jul,"04,",2023,"33,512.26","33,576.45","33,338.78","33,422.52","33,422.52","99,400,000"
41,Jul,"03,",2023,"33,517.60","33,762.81","33,510.55","33,753.33","33,753.33","95,400,000"
42,Jun,"30,",2023,"33,068.36","33,232.89","32,918.77","33,189.04","33,189.04","111,300,000"
43,Jun,"29,",2023,"33,306.84","33,527.98","33,185.20","33,234.14","33,234.14","117,900,000"
44,Jun,"28,",2023,"32,807.84","33,193.99","32,642.87","33,193.99","33,193.99","91,100,000"
45,Jun,"27,",2023,"32,629.96","32,689.10","32,306.99","32,538.33","32,538.33","79,600,000"
46,Jun,"26,",2023,"32,647.08","32,884.73","32,392.72","32,698.81","32,698.81","74,100,000"
47,Jun,"23,",2023,"33,458.35","33,533.47","32,575.56","32,781.54","32,781.54","103,600,000"
48,Jun,"22,",2023,"33,438.01","33,641.46","33,232.19","33,264.88","33,264.88","94,700,000"
49,Jun,"21,",2023,"33,200.63","33,657.87","33,154.68","33,575.14","33,575.14","82,000,000"
50,Jun,"20,",2023,"33,269.57","33,474.74","33,089.02","33,388.91","33,388.91","82,400,000"
51,Jun,"19,",2023,"33,768.69","33,772.89","33,231.56","33,370.42","33,370.42","82,900,000"
52,Jun,"16,",2023,"33,399.15","33,772.76","33,186.93","33,706.08","33,706.08","132,000,000"
53,Jun,"15,",2023,"33,493.69","33,767.13","33,386.01","33,485.49","33,485.49","105,800,000"
54,Jun,"14,",2023,"33,331.47","33,665.52","33,203.95","33,502.42","33,502.42","111,600,000"
55,Jun,"13,",2023,"32,668.95","33,127.36","32,638.21","33,018.65","33,018.65","89,500,000"
56,Jun,"12,",2023,"32,412.12","32,517.68","32,280.54","32,434.00","32,434.00","68,700,000"
57,Jun,"09,",2023,"31,927.38","32,304.04","31,898.75","32,265.17","32,265.17","101,500,000"
58,Jun,"08,",2023,"31,877.79","32,035.95","31,420.45","31,641.27","31,641.27","86,000,000"
59,Jun,"07,",2023,"32,618.78","32,708.53","31,913.74","31,913.74","31,913.74","111,900,000"
60,Jun,"06,",2023,"31,988.37","32,534.47","31,933.87","32,506.78","32,506.78","82,500,000"
61,Jun,"05,",2023,"31,864.12","32,217.43","31,798.72","32,217.43","32,217.43","98,800,000"
62,Jun,"02,",2023,"31,300.72","31,555.54","31,257.01","31,524.22","31,524.22","90,700,000"
63,Jun,"01,",2023,"30,886.01","31,185.05","30,853.44","31,148.01","31,148.01","95,100,000"
64,May,"31,",2023,"31,057.09","31,142.78","30,785.98","30,887.88","30,887.88","184,600,000"
65,May,"30,",2023,"31,196.24","31,374.83","31,064.19","31,328.16","31,328.16","71,800,000"
66,May,"29,",2023,"31,388.01","31,560.43","31,164.00","31,233.54","31,233.54","78,300,000"
67,May,"26,",2023,"30,909.61","31,101.60","30,864.49","30,916.31","30,916.31","78,300,000"
68,May,"25,",2023,"30,599.27","30,889.98","30,558.14","30,801.13","30,801.13","84,000,000"
69,May,"24,",2023,"30,728.69","30,856.92","30,566.83","30,682.68","30,682.68","81,700,000"
70,May,"23,",2023,"31,245.72","31,352.53","30,828.73","30,957.77","30,957.77","92,200,000"
71,May,"22,",2023,"30,735.71","31,086.82","30,689.27","31,086.82","31,086.82","75,400,000"
72,May,"19,",2023,"30,847.36","30,924.57","30,679.16","30,808.35","30,808.35","80,500,000"
73,May,"18,",2023,"30,432.54","30,667.13","30,381.90","30,573.93","30,573.93","90,500,000"
74,May,"17,",2023,"29,912.44","30,115.32","29,912.44","30,093.59","30,093.59","93,100,000"
75,May,"16,",2023,"29,838.01","29,916.56","29,779.07","29,842.99","29,842.99","107,400,000"
76,May,"15,",2023,"29,547.04","29,629.47","29,475.97","29,626.34","29,626.34","88,600,000"
77,May,"12,",2023,"29,199.30","29,426.06","29,141.52","29,388.30","29,388.30","106,100,000"
78,May,"11,",2023,"29,110.79","29,165.59","29,028.71","29,126.72","29,126.72","82,200,000"
79,May,"10,",2023,"29,189.41","29,195.16","29,070.11","29,122.18","29,122.18","87,300,000"
80,May,"09,",2023,"29,020.63","29,262.36","29,020.63","29,242.82","29,242.82","86,400,000"
81,May,"08,",2023,"29,095.46","29,144.12","28,931.81","28,949.88","28,949.88","74,100,000"
82,May,"02,",2023,"29,278.80","29,278.80","29,083.13","29,157.95","29,157.95","63,900,000"
83,May,"01,",2023,"29,058.05","29,145.89","29,016.83","29,123.18","29,123.18","73,400,000"
84,Apr,"28,",2023,"28,705.91","28,879.24","28,499.51","28,856.44","28,856.44","104,000,000"
85,Apr,"27,",2023,"28,340.59","28,459.73","28,241.67","28,457.68","28,457.68","73,600,000"
