,Month,Day,Year,Open,High,Low,Close,Adj_Close,Volume
0,Aug,"31,",2023,925.57,930.42,923.40,928.40,928.40,"1,300"
1,Aug,"30,",2023,925.08,926.44,921.05,923.81,923.81,"1,300"
2,Aug,"29,",2023,911.94,918.39,907.82,916.24,916.24,"1,300"
3,Aug,"28,",2023,907.53,909.48,901.84,909.38,909.38,"1,100"
4,Aug,"25,",2023,891.21,902.81,890.08,899.38,899.38,"1,200"
5,Aug,"24,",2023,893.46,902.64,892.12,901.74,901.74,"1,300"
6,Aug,"23,",2023,892.65,892.65,881.40,882.87,882.87,"1,400"
7,Aug,"22,",2023,898.40,899.21,889.71,893.33,893.33,"1,200"
8,Aug,"21,",2023,881.09,894.58,879.80,888.71,888.71,"1,100"
9,Aug,"18,",2023,878.52,882.08,874.27,877.32,877.32,"1,100"
10,Aug,"17,",2023,875.15,887.67,863.32,886.04,886.04,"1,100"
11,Aug,"16,",2023,893.93,895.42,877.85,878.29,878.29,"1,200"
12,Aug,"14,",2023,907.43,908.13,894.08,901.68,901.68,"1,200"
13,Aug,"11,",2023,913.97,918.18,908.27,912.20,912.20,"1,400"
14,Aug,"10,",2023,904.68,912.65,899.01,911.29,911.29,"1,300"
15,Aug,"09,",2023,891.08,912.94,889.94,908.98,908.98,"1,000"
16,Aug,"08,",2023,901.76,903.78,889.25,892.34,892.34,"1,200"
17,Aug,"07,",2023,913.25,913.25,894.48,898.22,898.22,"1,100"
18,Aug,"04,",2023,921.16,922.89,914.30,918.43,918.43,"1,100"
19,Aug,"03,",2023,911.28,920.41,897.89,920.32,920.32,"1,100"
20,Aug,"02,",2023,931.17,940.06,907.87,909.76,909.76,"1,000"
21,Aug,"01,",2023,944.71,952.12,926.75,939.67,939.67,900
22,Jul,"31,",2023,923.01,938.43,921.39,935.97,935.97,700
23,Jul,"28,",2023,880.23,914.60,877.96,913.74,913.74,700
24,Jul,"27,",2023,897.44,912.57,878.80,883.79,883.79,900
25,Jul,"26,",2023,945.57,956.40,886.14,900.63,900.63,"1,200"
26,Jul,"25,",2023,932.17,945.47,924.31,939.96,939.96,900
27,Jul,"24,",2023,934.99,935.55,920.89,929.90,929.90,"1,000"
28,Jul,"21,",2023,918.51,937.29,918.19,934.58,934.58,"1,000"
