,Month,Day,Year,Open,High,Low,Close,Adj_Close,Volume
0,Aug,"30,",2023,"1,456.23","1,462.80","1,451.94","1,451.94","1,451.94","323,180,900"
1,Aug,"29,",2023,"1,443.47","1,455.80","1,441.52","1,454.44","1,454.44","124,595,100"
2,Aug,"28,",2023,"1,443.67","1,445.31","1,441.78","1,444.06","1,444.06","90,966,700"
3,Aug,"25,",2023,"1,444.21","1,444.81","1,438.51","1,444.49","1,444.49","110,374,500"
4,Aug,"24,",2023,"1,441.52","1,446.75","1,441.52","1,444.67","1,444.67","87,375,800"
5,Aug,"23,",2023,"1,451.63","1,451.72","1,439.13","1,440.11","1,440.11","101,613,400"
6,Aug,"22,",2023,"1,450.87","1,456.40","1,449.19","1,451.53","1,451.53","99,704,700"
7,Aug,"21,",2023,"1,446.69","1,451.68","1,445.10","1,450.57","1,450.57","121,972,100"
8,Aug,"18,",2023,"1,449.23","1,449.23","1,442.26","1,446.09","1,446.09","127,832,700"
9,Aug,"17,",2023,"1,460.61","1,460.76","1,447.98","1,447.98","1,447.98","154,807,600"
10,Aug,"16,",2023,"1,459.03","1,464.27","1,458.37","1,463.51","1,463.51","120,690,800"
11,Aug,"15,",2023,"1,456.86","1,463.29","1,456.27","1,460.28","1,460.28","84,618,900"
12,Aug,"14,",2023,"1,457.19","1,457.43","1,452.15","1,457.00","1,457.00","83,404,700"
13,Aug,"11,",2023,"1,458.47","1,458.97","1,449.67","1,457.16","1,457.16","116,246,300"
14,Aug,"10,",2023,"1,460.36","1,460.70","1,453.37","1,458.93","1,458.93","140,203,100"
15,Aug,"09,",2023,"1,450.30","1,462.03","1,446.71","1,462.03","1,462.03","140,193,500"
16,Aug,"08,",2023,"1,444.21","1,452.47","1,441.63","1,451.00","1,451.00","87,847,500"
17,Aug,"07,",2023,"1,444.89","1,449.38","1,442.13","1,445.81","1,445.81","48,138,700"
18,Aug,"04,",2023,"1,442.49","1,447.13","1,442.23","1,445.21","1,445.21","70,523,900"
19,Aug,"03,",2023,"1,441.37","1,442.78","1,433.04","1,441.85","1,441.85","89,240,200"
20,Aug,"02,",2023,"1,449.45","1,450.28","1,441.85","1,444.56","1,444.56","91,589,600"
21,Aug,"01,",2023,"1,458.90","1,462.56","1,449.02","1,451.24","1,451.24","98,171,000"
22,Jul,"31,",2023,"1,451.07","1,464.70","1,451.07","1,459.43","1,459.43","164,867,900"
23,Jul,"28,",2023,"1,448.21","1,454.24","1,446.46","1,450.35","1,450.35","101,845,900"
24,Jul,"27,",2023,"1,447.66","1,456.36","1,446.92","1,451.27","1,451.27","123,234,900"
25,Jul,"26,",2023,"1,436.70","1,449.29","1,436.70","1,449.29","1,449.29","133,082,000"
26,Jul,"25,",2023,"1,425.76","1,437.81","1,425.28","1,436.79","1,436.79","135,600,500"
27,Jul,"24,",2023,"1,412.68","1,424.69","1,412.38","1,424.69","1,424.69","87,448,700"
28,Jul,"21,",2023,"1,407.48","1,413.52","1,405.64","1,413.52","1,413.52","86,987,100"
29,Jul,"20,",2023,"1,404.57","1,409.34","1,402.71","1,406.69","1,406.69","100,328,400"
30,Jul,"18,",2023,"1,407.54","1,407.90","1,399.47","1,403.03","1,403.03","78,504,600"
31,Jul,"17,",2023,"1,411.77","1,412.09","1,403.12","1,406.10","1,406.10","92,626,300"
32,Jul,"14,",2023,"1,399.53","1,414.22","1,399.39","1,412.09","1,412.09","160,012,400"
33,Jul,"13,",2023,"1,401.10","1,401.76","1,396.23","1,396.23","1,396.23","71,844,700"
34,Jul,"12,",2023,"1,390.27","1,400.05","1,389.94","1,398.06","1,398.06","81,189,300"
35,Jul,"11,",2023,"1,386.09","1,391.46","1,384.84","1,391.46","1,391.46","105,063,900"
36,Jul,"10,",2023,"1,377.56","1,386.94","1,377.56","1,383.06","1,383.06","77,577,500"
