,Month,Day,Year,Open,High,Low,Close,Adj_Close,Volume
0,Aug,"30,",2023,"11,463.36","11,579.26","11,458.53","11,574.75","11,574.75","182,323,200"
1,Aug,"29,",2023,"11,477.15","11,488.45","11,415.75","11,442.56","11,442.56","169,123,500"
2,Aug,"28,",2023,"11,479.57","11,506.45","11,462.57","11,464.26","11,464.26","176,711,400"
3,Aug,"27,",2023,"11,424.48","11,487.37","11,424.48","11,470.11","11,470.11","163,648,700"
4,Aug,"24,",2023,"11,395.98","11,446.52","11,392.41","11,405.30","11,405.30","227,283,100"
5,Aug,"23,",2023,"11,382.23","11,450.17","11,367.07","11,367.07","11,367.07","201,163,700"
6,Aug,"22,",2023,"11,394.61","11,432.89","11,364.84","11,377.55","11,377.55","181,341,900"
7,Aug,"21,",2023,"11,529.64","11,536.68","11,408.45","11,408.45","11,408.45","213,730,100"
8,Aug,"20,",2023,"11,454.35","11,514.75","11,449.95","11,501.42","11,501.42","151,135,300"
9,Aug,"17,",2023,"11,375.92","11,467.59","11,352.73","11,451.31","11,451.31","232,388,600"
10,Aug,"16,",2023,"11,391.10","11,488.14","11,348.87","11,392.76","11,392.76","194,432,700"
11,Aug,"15,",2023,"11,491.45","11,494.68","11,398.59","11,412.88","11,412.88","198,072,700"
12,Aug,"14,",2023,"11,532.96","11,549.50","11,474.66","11,493.82","11,493.82","232,351,300"
13,Aug,"13,",2023,"11,440.07","11,554.34","11,439.11","11,546.15","11,546.15","231,680,100"
14,Aug,"10,",2023,"11,283.49","11,450.77","11,283.49","11,424.12","11,424.12","215,987,400"
15,Aug,"09,",2023,"11,263.98","11,310.35","11,194.20","11,286.21","11,286.21","246,170,600"
16,Aug,"08,",2023,"11,302.31","11,379.04","11,244.27","11,244.27","11,244.27","219,908,400"
17,Aug,"07,",2023,"11,350.83","11,425.45","11,235.15","11,271.94","11,271.94","271,440,900"
18,Aug,"06,",2023,-,-,-,-,-,-
19,Aug,"03,",2023,"11,441.86","11,496.28","11,375.78","11,375.78","11,375.78","257,936,100"
20,Aug,"02,",2023,"11,610.17","11,613.71","11,472.53","11,478.28","11,478.28","204,554,700"
21,Aug,"01,",2023,"11,674.88","11,707.21","11,602.01","11,636.07","11,636.07","212,809,900"
22,Jul,"31,",2023,"11,786.50","11,786.50","11,640.15","11,692.23","11,692.23","215,811,900"
23,Jul,"30,",2023,-,-,-,-,-,-
24,Jul,"27,",2023,"11,894.32","11,933.68","11,847.72","11,847.72","11,847.72","234,061,300"
25,Jul,"26,",2023,"11,892.58","11,917.29","11,848.73","11,906.13","11,906.13","251,321,800"
26,Jul,"25,",2023,"11,842.11","11,896.87","11,834.82","11,882.68","11,882.68","243,222,000"
27,Jul,"24,",2023,"11,761.42","11,819.51","11,740.82","11,801.90","11,801.90","273,000,800"
28,Jul,"23,",2023,"11,757.07","11,773.25","11,715.77","11,760.30","11,760.30","167,707,900"
29,Jul,"20,",2023,"11,767.83","11,775.56","11,723.65","11,755.94","11,755.94","245,373,100"
30,Jul,"19,",2023,"11,768.50","11,786.26","11,733.82","11,752.63","11,752.63","254,017,000"
31,Jul,"18,",2023,"11,794.96","11,826.34","11,726.76","11,768.71","11,768.71","326,493,200"
32,Jul,"17,",2023,"11,713.39","11,784.99","11,671.15","11,780.27","11,780.27","273,976,600"
33,Jul,"16,",2023,"11,733.20","11,754.37","11,694.07","11,715.50","11,715.50","275,379,900"
34,Jul,"13,",2023,"11,740.65","11,750.37","11,695.62","11,707.87","11,707.87","410,116,800"
35,Jul,"12,",2023,"11,685.53","11,758.79","11,678.72","11,727.19","11,727.19","443,506,200"
36,Jul,"11,",2023,"11,604.16","11,673.27","11,603.25","11,664.50","11,664.50","354,984,400"
37,Jul,"10,",2023,"11,594.38","11,624.22","11,565.82","11,586.93","11,586.93","474,237,300"
38,Jul,"09,",2023,"11,590.76","11,618.03","11,557.67","11,609.35","11,609.35","317,878,900"
39,Jul,"06,",2023,"11,596.00","11,598.61","11,553.97","11,597.91","11,597.91","281,860,100"
40,Jul,"05,",2023,"11,615.91","11,637.41","11,568.00","11,591.55","11,591.55","292,732,000"
41,Jul,"04,",2023,"11,557.80","11,618.72","11,552.60","11,618.72","11,618.72","247,289,700"
42,Jul,"03,",2023,"11,508.35","11,545.13","11,463.83","11,545.13","11,545.13","265,701,300"
43,Jul,"02,",2023,"11,491.76","11,522.87","11,481.73","11,493.91","11,493.91","181,425,500"
44,Jun,"22,",2023,"11,462.14","11,493.91","11,445.24","11,458.98","11,458.98","235,139,300"
45,Jun,"21,",2023,"11,428.09","11,466.17","11,411.60","11,466.17","11,466.17","193,642,900"
46,Jun,"20,",2023,"11,395.46","11,431.37","11,354.88","11,431.37","11,431.37","233,731,100"
47,Jun,"19,",2023,"11,501.61","11,510.20","11,388.33","11,421.70","11,421.70","303,049,500"
48,Jun,"18,",2023,"11,535.36","11,572.89","11,511.30","11,516.89","11,516.89","449,974,400"
49,Jun,"15,",2023,"11,541.34","11,572.41","11,491.06","11,516.14","11,516.14","586,981,500"
50,Jun,"14,",2023,"11,430.53","11,542.33","11,427.76","11,533.03","11,533.03","282,843,700"
51,Jun,"13,",2023,"11,421.12","11,464.85","11,412.32","11,413.82","11,413.82","241,714,400"
52,Jun,"12,",2023,"11,400.27","11,424.78","11,345.11","11,423.13","11,423.13","196,505,400"
53,Jun,"11,",2023,-,-,-,-,-,-
54,Jun,"08,",2023,"11,379.25","11,397.14","11,336.20","11,397.14","11,397.14","188,362,500"
55,Jun,"07,",2023,"11,340.23","11,378.77","11,327.60","11,372.83","11,372.83","180,778,500"
56,Jun,"06,",2023,"11,300.94","11,316.87","11,267.85","11,316.87","11,316.87","190,669,600"
57,Jun,"05,",2023,"11,235.44","11,340.35","11,229.62","11,293.59","11,293.59","182,013,100"
58,Jun,"04,",2023,"11,092.83","11,221.96","11,087.33","11,221.96","11,221.96","140,614,900"
59,Jun,"01,",2023,"11,034.48","11,085.70","11,014.95","11,014.95","11,014.95","174,948,800"
60,May,"31,",2023,"11,119.84","11,122.66","10,987.02","11,014.13","11,014.13","341,609,600"
61,May,"30,",2023,"11,156.09","11,202.99","11,139.98","11,139.98","11,139.98","150,875,800"
62,May,"29,",2023,"11,139.42","11,171.28","11,121.54","11,135.67","11,135.67","157,163,500"
