,Month,Day,Year,Open,High,Low,Close,Adj_Close,Volume
0,Aug,"31,",2023,"16,707.35","16,712.22","16,630.67","16,634.51","16,634.51","3,812,000"
1,Aug,"30,",2023,"16,666.33","16,780.42","16,666.33","16,719.82","16,719.82","2,979,300"
2,Aug,"29,",2023,"16,528.49","16,627.70","16,495.76","16,623.65","16,623.65","2,649,500"
3,Aug,"28,",2023,"16,498.86","16,582.96","16,498.86","16,509.26","16,509.26","3,052,400"
4,Aug,"25,",2023,"16,708.53","16,708.53","16,481.58","16,481.58","16,481.58","3,217,200"
5,Aug,"24,",2023,"16,651.03","16,822.36","16,651.03","16,770.87","16,770.87","3,988,000"
6,Aug,"23,",2023,"16,440.39","16,588.51","16,440.39","16,576.90","16,576.90","3,025,900"
7,Aug,"22,",2023,"16,429.69","16,535.07","16,407.83","16,437.61","16,437.61","2,929,100"
8,Aug,"21,",2023,"16,414.14","16,485.25","16,347.77","16,381.49","16,381.49","2,647,300"
9,Aug,"18,",2023,"16,508.46","16,583.95","16,344.29","16,381.31","16,381.31","3,834,000"
10,Aug,"17,",2023,"16,411.63","16,550.11","16,264.65","16,516.66","16,516.66","3,718,500"
11,Aug,"16,",2023,"16,422.20","16,446.78","16,304.44","16,446.78","16,446.78","3,521,200"
12,Aug,"15,",2023,"16,438.63","16,546.01","16,437.63","16,454.80","16,454.80","3,164,800"
13,Aug,"14,",2023,"16,585.41","16,585.41","16,307.28","16,393.66","16,393.66","3,754,700"
14,Aug,"11,",2023,"16,644.65","16,766.84","16,601.25","16,601.25","16,601.25","3,143,400"
15,Aug,"10,",2023,"16,827.11","16,827.11","16,601.17","16,634.70","16,634.70","3,822,300"
16,Aug,"09,",2023,"16,836.64","16,956.73","16,798.50","16,870.94","16,870.94","3,230,500"
17,Aug,"08,",2023,"17,006.46","17,043.56","16,812.59","16,877.07","16,877.07","3,689,000"
18,Aug,"07,",2023,"16,870.81","17,032.32","16,868.74","16,996.00","16,996.00","3,358,800"
19,Aug,"04,",2023,"16,847.24","16,887.38","16,748.51","16,843.68","16,843.68","3,836,700"
20,Aug,"02,",2023,"17,207.22","17,212.55","16,844.57","16,893.73","16,893.73","4,905,400"
21,Aug,"01,",2023,"17,141.97","17,252.32","17,095.86","17,212.87","17,212.87","3,848,500"
22,Jul,"31,",2023,"17,341.04","17,463.76","17,081.48","17,145.43","17,145.43","5,016,000"
23,Jul,"28,",2023,"17,244.51","17,328.21","17,179.94","17,292.93","17,292.93","4,184,900"
24,Jul,"27,",2023,"17,189.30","17,282.86","17,189.30","17,241.82","17,241.82","4,509,600"
25,Jul,"26,",2023,"17,205.47","17,247.02","17,121.99","17,162.55","17,162.55","4,140,400"
26,Jul,"25,",2023,"17,061.88","17,270.20","17,061.88","17,198.89","17,198.89","3,822,600"
27,Jul,"24,",2023,"17,036.79","17,098.73","16,941.15","17,033.61","17,033.61","4,044,800"
28,Jul,"21,",2023,"17,106.29","17,106.29","16,859.13","17,030.70","17,030.70","4,256,500"
29,Jul,"20,",2023,"17,104.91","17,214.41","17,098.65","17,164.89","17,164.89","3,659,100"
30,Jul,"19,",2023,"17,265.38","17,340.82","17,082.54","17,116.44","17,116.44","4,897,100"
31,Jul,"18,",2023,"17,368.36","17,401.59","17,164.92","17,227.91","17,227.91","6,165,200"
32,Jul,"17,",2023,"17,279.11","17,346.66","17,235.92","17,334.29","17,334.29","4,827,400"
33,Jul,"14,",2023,"17,152.81","17,287.40","17,128.07","17,283.71","17,283.71","4,457,500"
34,Jul,"13,",2023,"16,994.59","17,223.86","16,994.59","17,061.40","17,061.40","4,859,500"
35,Jul,"12,",2023,"16,903.25","16,962.03","16,864.01","16,962.03","16,962.03","4,067,700"
36,Jul,"11,",2023,"16,675.69","16,898.91","16,675.69","16,898.91","16,898.91","3,940,800"
37,Jul,"10,",2023,"16,664.21","16,798.81","16,635.83","16,652.80","16,652.80","3,379,500"
38,Jul,"07,",2023,"16,762.17","16,762.39","16,593.84","16,664.21","16,664.21","3,783,700"
39,Jul,"06,",2023,"17,056.43","17,056.43","16,749.29","16,762.17","16,762.17","4,369,600"
40,Jul,"05,",2023,"17,140.77","17,153.17","17,020.01","17,056.43","17,056.43","4,153,400"
41,Jul,"04,",2023,"17,084.20","17,154.10","17,042.60","17,140.77","17,140.77","4,436,200"
42,Jul,"03,",2023,"16,915.54","17,103.73","16,915.54","17,084.20","17,084.20","3,930,600"
43,Jun,"30,",2023,"16,870.27","16,919.95","16,792.34","16,915.54","16,915.54","3,542,500"
