,Month,Day,Year,Open,High,Low,Close,Adj_Close,Volume
0,Aug,"30,",2023,"1,574.30","1,579.43","1,572.82","1,576.67","1,576.67","5,588,900"
1,Aug,"29,",2023,"1,566.00","1,573.19","1,563.15","1,568.81","1,568.81","5,458,600"
2,Aug,"28,",2023,"1,566.00","1,568.68","1,560.41","1,562.97","1,562.97","6,510,200"
3,Aug,"25,",2023,"1,554.74","1,562.12","1,551.10","1,560.20","1,560.20","5,315,200"
4,Aug,"24,",2023,"1,552.97","1,563.62","1,552.97","1,557.41","1,557.41","6,048,400"
5,Aug,"23,",2023,"1,550.20","1,554.28","1,543.37","1,549.01","1,549.01","5,763,800"
6,Aug,"22,",2023,"1,535.54","1,548.32","1,532.45","1,545.60","1,545.60","6,131,000"
7,Aug,"21,",2023,"1,522.44","1,529.34","1,514.70","1,525.85","1,525.85","3,472,500"
8,Aug,"18,",2023,"1,525.75","1,527.75","1,516.18","1,519.12","1,519.12","4,483,100"
9,Aug,"17,",2023,"1,515.10","1,531.08","1,512.08","1,528.81","1,528.81","4,240,200"
10,Aug,"16,",2023,"1,516.64","1,521.41","1,506.00","1,519.56","1,519.56","4,845,100"
11,Aug,"15,",2023,"1,534.05","1,535.97","1,517.34","1,520.73","1,520.73","3,854,400"
12,Aug,"11,",2023,"1,535.47","1,540.19","1,528.85","1,535.16","1,535.16","5,129,500"
13,Aug,"10,",2023,"1,527.93","1,533.41","1,518.62","1,533.41","1,533.41","3,512,500"
14,Aug,"09,",2023,"1,520.90","1,528.30","1,514.38","1,528.30","1,528.30","3,333,200"
15,Aug,"08,",2023,"1,534.61","1,536.81","1,518.44","1,518.44","1,518.44","2,828,500"
16,Aug,"07,",2023,"1,533.18","1,540.22","1,519.37","1,532.51","1,532.51","3,226,300"
17,Aug,"04,",2023,"1,531.03","1,539.07","1,530.34","1,530.46","1,530.46","3,572,200"
18,Aug,"03,",2023,"1,543.78","1,546.11","1,528.63","1,529.01","1,529.01","4,135,200"
19,Aug,"02,",2023,"1,550.06","1,562.07","1,546.23","1,550.28","1,550.28","16,298,100"
20,Jul,"31,",2023,"1,548.75","1,559.07","1,547.62","1,556.06","1,556.06","4,528,600"
21,Jul,"27,",2023,"1,527.12","1,546.27","1,520.89","1,543.27","1,543.27","4,246,400"
22,Jul,"26,",2023,"1,527.41","1,530.18","1,519.44","1,524.59","1,524.59","2,643,700"
23,Jul,"25,",2023,"1,529.17","1,533.74","1,519.28","1,526.30","1,526.30","2,593,300"
24,Jul,"24,",2023,"1,529.41","1,537.15","1,520.77","1,523.81","1,523.81","3,365,700"
25,Jul,"21,",2023,"1,524.04","1,532.47","1,516.75","1,529.25","1,529.25","3,494,400"
26,Jul,"20,",2023,"1,536.08","1,541.49","1,521.18","1,521.18","1,521.18","3,396,400"
27,Jul,"19,",2023,"1,537.68","1,545.70","1,529.25","1,536.64","1,536.64","4,046,400"
28,Jul,"18,",2023,"1,527.13","1,535.62","1,526.91","1,535.30","1,535.30","3,620,300"
29,Jul,"17,",2023,"1,521.39","1,532.12","1,515.45","1,528.77","1,528.77","4,396,800"
30,Jul,"14,",2023,"1,497.85","1,519.08","1,497.85","1,517.92","1,517.92","3,223,800"
31,Jul,"13,",2023,"1,491.05","1,497.24","1,487.48","1,494.02","1,494.02","2,616,900"
32,Jul,"12,",2023,"1,500.97","1,507.01","1,488.01","1,491.14","1,491.14","3,565,100"
33,Jul,"11,",2023,"1,503.06","1,505.40","1,492.63","1,496.96","1,496.96","2,683,400"
34,Jul,"10,",2023,"1,493.21","1,498.36","1,482.21","1,496.89","1,496.89","2,306,200"
35,Jul,"07,",2023,"1,481.91","1,496.59","1,474.94","1,490.51","1,490.51","2,226,700"
36,Jul,"06,",2023,"1,503.38","1,505.88","1,486.49","1,490.46","1,490.46","3,033,900"
37,Jul,"05,",2023,"1,512.93","1,516.23","1,506.36","1,508.87","1,508.87","3,168,000"
38,Jul,"04,",2023,"1,504.12","1,520.02","1,502.50","1,515.31","1,515.31","3,024,800"
39,Jul,"03,",2023,"1,507.65","1,509.15","1,494.57","1,506.84","1,506.84","2,147,300"
40,Jun,"30,",2023,"1,488.86","1,506.19","1,487.74","1,503.10","1,503.10","4,400,100"
41,Jun,"29,",2023,"1,468.00","1,490.71","1,461.61","1,479.57","1,479.57","4,344,000"
42,Jun,"28,",2023,"1,483.32","1,485.89","1,465.45","1,466.93","1,466.93","3,870,600"
43,Jun,"27,",2023,"1,488.17","1,495.67","1,478.10","1,478.10","1,478.10","2,633,800"
44,Jun,"26,",2023,"1,504.27","1,507.63","1,483.92","1,485.32","1,485.32","3,747,800"
45,Jun,"23,",2023,"1,504.50","1,510.42","1,495.82","1,505.52","1,505.52","2,815,200"
46,Jun,"22,",2023,"1,524.35","1,525.26","1,506.09","1,509.31","1,509.31","3,524,100"
